ref_id,source_name,category,source_type,pillar,maturity_level,asset_class,requirement,evidence_quote,evidence_location,source_url,confidence,extraction_model,extraction_date,status,deprecated_at,deprecated_reason
NIST-FIPS140-3-IG-PQC,Implementation Guidance for FIPS 140-3 and the Cryptographic Module Validation Program,Certification Schemes,Compliance Framework,assurance,3,all,Maintain validated cryptographic modules by tracking Component Validation List (CVL) status and ensuring conformance to FIPS 140-3 derived test requirements.,The CMVP validates the test results of National Voluntary Laboratory Accreditation Program (NVLAP) accredited Cryptographic and Security Testing (CST) Laboratories which test cryptographic modules for conformance to Federal Information Processing Standard Publication (FIPS) 140-3,Overview,https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-09-07,active,,
NIST-FIPS140-3-IG-PQC,Implementation Guidance for FIPS 140-3 and the Cryptographic Module Validation Program,Certification Schemes,Compliance Framework,assurance,3,libraries,Validate cryptographic algorithm implementations through the Cryptographic Algorithm Validation Program (CAVP) to ensure approved security functions.,The Cryptographic Algorithm Validation Program (CAVP) addresses the testing of Approved Security Functions and Approved Sensitive Security Parameter Generation and Establishment Methods which are referenced in the SP 800-140 series of FIPS 140-3.,Overview,https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-09-07,active,,
NIST-FIPS140-3-IG-PQC,Implementation Guidance for FIPS 140-3 and the Cryptographic Module Validation Program,Certification Schemes,Compliance Framework,observability,3,all,Implement error logging for self-tests to detect and record failures in cryptographic module operations and integrity checks.,10.3.D ERROR LOGGING,Table of Contents / Section 10.3.D,https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,medium,mlx-community/Qwen3.6-27B-8bit,2026-09-07,active,,
NIST-FIPS140-3-IG-PQC,Implementation Guidance for FIPS 140-3 and the Cryptographic Module Validation Program,Certification Schemes,Compliance Framework,observability,3,all,Execute periodic self-tests to continuously verify the operational integrity of cryptographic algorithms and module health.,10.3.E PERIODIC SELF-TESTING,Table of Contents / Section 10.3.E,https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,medium,mlx-community/Qwen3.6-27B-8bit,2026-09-07,active,,
NIST-FIPS140-3-IG-PQC,Implementation Guidance for FIPS 140-3 and the Cryptographic Module Validation Program,Certification Schemes,Compliance Framework,lifecycle,3,all,Manage Common Vulnerabilities and Exposures (CVEs) affecting validated cryptographic modules to maintain security posture throughout the module lifecycle.,SECTION 11 – LIFE-CYCLE ASSURANCE ... 11.A CVE MANAGEMENT,Table of Contents / Section 11.A,https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-09-07,active,,
NIST-FIPS140-3-IG-PQC,Implementation Guidance for FIPS 140-3 and the Cryptographic Module Validation Program,Certification Schemes,Compliance Framework,assurance,3,all,Ensure entropy sources comply with SP 800-90B requirements for estimation and compliance to guarantee valid random number generation.,D.J ENTROPY ESTIMATION AND COMPLIANCE WITH SP 800-90B ... D.K INTERPRETATION OF SP 800-90B REQUIREMENTS,"Annex D / Sections D.J, D.K",https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-09-07,active,,
NIST-FIPS140-3-IG-PQC,Implementation Guidance for FIPS 140-3 and the Cryptographic Module Validation Program,Certification Schemes,Compliance Framework,governance,2,all,"Define and document the security policy for the cryptographic module, including roles, services, and authentication mechanisms, as required for validation.",ANNEX B – CRYPTOGRAPHIC MODULE SECURITY POLICY,Annex B,https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-09-07,active,,
NIST-FIPS140-3-IG-PQC,Implementation Guidance for FIPS 140-3 and the Cryptographic Module Validation Program,Certification Schemes,Compliance Framework,inventory,3,all,Track and maintain the Component Validation List (CVL) to identify all validated components and their status within the cryptographic module.,2.4.B TRACKING THE COMPONENT VALIDATION LIST,Section 2.4.B,https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-09-07,active,,
NIST-FIPS140-3-IG-PQC,Implementation Guidance for FIPS 140-3 and the Cryptographic Module Validation Program,Certification Schemes,Compliance Framework,assurance,3,all,Validate the use of non-approved security functions only if explicitly defined and justified within the module's security policy and documentation.,2.4.A DEFINITION AND USE OF A NON-APPROVED SECURITY FUNCTION,Section 2.4.A,https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-09-07,active,,
NIST-FIPS140-3-IG-PQC,Implementation Guidance for FIPS 140-3 and the Cryptographic Module Validation Program,Certification Schemes,Compliance Framework,observability,3,all,Implement an Approved Security Service Indicator to signal the operational status and validity of cryptographic services provided by the module.,2.4.C APPROVED SECURITY SERVICE INDICATOR,Section 2.4.C,https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-09-07,active,,
