question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
quantum-threats-learn-001,quantum-threats,Quantum Threats,What is the primary function of Shor's algorithm in the context of quantum threats to cryptography?,"Shor's algorithm solves integer factorization and discrete logarithm problems in polynomial time, effectively breaking RSA and ECC/DH cryptographic systems. It reduces the security of these algorithms by allowing a cryptographically relevant quantum computer (CRQC) to derive private keys from public keys efficiently.",learn,recall,developer;architect;researcher,beginner,Global,General,,,,,,,,/learn/quantum-threats,,Key Concepts: Shor's Algorithm
quantum-threats-learn-002,quantum-threats,Quantum Threats,How does Grover's algorithm impact the security level of symmetric encryption algorithms like AES?,"Grover's algorithm provides a quadratic speedup for searching unstructured databases, which effectively halves the security bits of symmetric keys. Consequently, AES-128 drops to 64-bit security (insufficient), while AES-256 retains 128-bit security and remains secure against quantum attacks.",learn,recall,developer;architect;ops,beginner,Global,General,,,,,,,,/learn/quantum-threats,,Key Concepts: Grover's Algorithm
quantum-threats-learn-003,quantum-threats,Quantum Threats,What is the approximate number of logical qubits required to break RSA-2048 using Shor's algorithm?,"Breaking RSA-2048 using Shor's algorithm requires approximately 4,098 logical qubits. This metric highlights the significant hardware threshold needed for a Cryptographically Relevant Quantum Computer (CRQC) to compromise current production-size keys.",learn,recall,researcher;architect,beginner,Global,General,,,,,RSA-2048,,,/algorithms?highlight=RSA-2048;/learn/quantum-threats,algorithm:RSA-2048 IN algorithms_csv,Key Concepts: Shor's Algorithm
quantum-threats-learn-004,quantum-threats,Quantum Threats,Which specific standard mandates that US government software must implement Post-Quantum Cryptography (PQC) by 2025?,The NSA CNSA 2.0 (Commercial National Security Algorithm Suite 2.0) requires software PQC implementation by 2025. This mandate is part of the broader timeline projections for transitioning away from vulnerable classical cryptographic algorithms.,learn,recall,executive;architect;ops,beginner,USA,Government;Defense,NSA CNSA 2.0,,,,,,NSA,/library?ref=NSA%20CNSA%202.0;/learn/quantum-threats,library_ref:NSA CNSA 2.0 EXISTS|compliance_ref:NSA EXISTS,Key Concepts: CRQC timeline projections
quantum-threats-learn-005,quantum-threats,Quantum Threats,"What are the three distinct phases of a Harvest Now, Decrypt Later (HNDL) attack?","The three phases of an HNDL attack are Harvest (intercepting encrypted traffic), Store (archiving the data cheaply), and Decrypt (using a CRQC to break the key exchange and recover symmetric keys). This model exploits the fact that adversaries can collect data today to decrypt it once quantum capabilities mature.",learn,recall,developer;architect;ops,beginner,Global,General,,,,,,,,/learn/quantum-threats,,Key Concepts: HNDL attack phases
quantum-threats-learn-006,quantum-threats,Quantum Threats,What is the definition of a Cryptographically Relevant Quantum Computer (CRQC)?,A CRQC is defined as a quantum computer powerful enough to run Shor's algorithm against production-size keys. It represents the threshold where current public-key cryptography like RSA and ECC becomes vulnerable to immediate compromise.,learn,recall,executive;architect;researcher,beginner,Global,General,,,,,,,,/learn/quantum-threats,,Key Concepts: CRQC
quantum-threats-learn-007,quantum-threats,Quantum Threats,How does the concept of superposition allow quantum computers to process information differently than classical computers?,"Superposition allows qubits to exist in a combination of 0 and 1 simultaneously, whereas classical bits are strictly one or the other. When combined with entanglement, N qubits can process 2^N states in parallel, enabling exponential speedups for specific algorithms like Shor's.",learn,comprehension,researcher;developer,beginner;intermediate,Global,General,,,,,,,,/learn/quantum-threats,,Key Concepts: Qubits and superposition
quantum-threats-learn-008,quantum-threats,Quantum Threats,Why is AES-256 considered secure against Grover's algorithm while AES-128 is not?,"Grover's algorithm halves the effective security bits of symmetric keys; therefore, AES-128 drops to 64-bit security, which is insufficient for modern standards. In contrast, AES-256 retains 128-bit security after the quantum speedup, maintaining a robust security margin.",learn,comprehension,developer;architect,beginner;intermediate,Global,General,,,,,,,,/learn/quantum-threats,,Key Concepts: Grover's Algorithm
quantum-threats-learn-009,quantum-threats,Quantum Threats,What is the fundamental difference between the targets of HNDL and HNFL attacks?,"HNDL attacks target encrypted traffic to recover session keys for past communications, whereas HNFL attacks target signed artifacts like firmware, certificates, and code-signing blobs. HNFL allows an adversary to forge signatures retroactively once a private key is recovered via Shor's algorithm.",learn,comprehension,architect;ops;developer,intermediate,Global,General,,,,,,,,/learn/quantum-threats,,Key Concepts: HNDL/HNFL attack phases
quantum-threats-learn-010,quantum-threats,Quantum Threats,How does Mosca's Theorem determine the urgency of migrating to Post-Quantum Cryptography?,"Mosca's Theorem states that if data must remain secure for X years, migration takes Y years, and a CRQC arrives in Z years, migration must start within Z - X - Y years. This formula highlights that organizations must begin migration before the CRQC arrives to protect long-term sensitive data.",learn,comprehension,executive;architect,intermediate,Global,General,,,,,,,,/learn/quantum-threats,,Key Concepts: Mosca's Theorem
