role_id,variant_id,slot,slot_index,content,status,deprecated_at,deprecated_reason,last_reviewed,notes
ops,capacity,hero_eyebrow,,IT Ops · 12k certs · 4 HSM partitions · next renewal window in 90 days,active,,,2026-08-02,
ops,capacity,hero_badge_text,,"Americas · Energy & Utilities, Telecommunications",deprecated,2026-09-03,"Superseded by live region/industry personalisation (WS7.2, PersonaBoardView.tsx liveBadgeText) -- this literal is no longer read by the app. Kept, not deleted, per CSV convention; hero_badge_tone rows for the same boards are left alone since heroBadge.tone is still part of the PersonaJourneyBoard type even though unread.",2026-09-03,
ops,capacity,hero_badge_tone,,sourced,deprecated,2026-09-03,"Orphaned once hero_badge_text was deprecated in the same pass -- the generator only emits heroBadge when hero_badge_text resolves (generate-role-board-content.ts), so this row has had nothing to pair with since.",2026-09-03,
ops,capacity,headline,,Size your fleet before renewal day.,active,,,2026-08-02,Was 'Will your HSMs survive the cutover?' until 2026-08-02 — an over-promise the tool cannot back up. See personaConfig.ts git history for the full rationale.
ops,capacity,sub,,"{Hsm_use_cases_count} enterprise workflows, sized side by side: RSA-3072 and ECDSA P-256 today against ML-DSA-44/65/87. Storage, bandwidth, and CPU cores per workflow, with a totals row.",active,,,2026-08-02,
ops,capacity,cta_primary_label,,Size your HSM fleet,active,,,2026-08-02,De-duplicated 2026-08-02: every board now points at its own destination — tls-simulator was on 6 boards and /migrate on 5.
ops,capacity,cta_primary_href,,/playground/hsm-capacity,active,,,2026-08-02,De-duplicated 2026-08-02: every board now points at its own destination — tls-simulator was on 6 boards and /migrate on 5.
ops,capacity,cta_secondary_label,,Align to funded refreshes,active,,,2026-08-02,Secondary CTA and item 2 are now this board's own BUSINESS tool (/tools/*). Before 2026-08-02 the boards leaned entirely on playground workshops.
ops,capacity,cta_secondary_href,,/business/tools/refresh-cycle-alignment,active,,,2026-08-02,"Path corrected 2026-08-02: business tools are nested under /business (/business/tools/:toolId). /tools/<id> fell through to the catch-all route and silently rendered the HOME BOARD — the destination resolved, so nothing failed, it just showed the wrong page. Secondary CTA and item 2 are now this board's own BUSINESS tool (/tools/*). Before 2026-08-02 the boards leaned entirely on playground workshops."
ops,capacity,proof_chip,0,Sizing from real FIPS 203/204 key sizes,active,,,2026-08-02,
