reference_id,document_title,download_url,initial_publication_date,last_update_date,document_status,short_description,document_type,applicable_industries,authors_or_organization,dependencies,region_scope,AlgorithmFamily,SecurityLevels,ProtocolOrToolImpact,ToolchainSupport,MigrationUrgency,change_status,manual_category,downloadable,local_file,module_ids,misc_info,trusted_source_id,peer_reviewed,vetting_body,github_contribution_url,unresolved_reason
NSA CSfC PQC Guidance Addendum,CSfC Post Quantum Cryptography Guidance Addendum,https://www.nsa.gov/Portals/75/documents/resources/everyone/csfc/capability-packages/CSfC%20Post%20Quantum%20Cryptography%20Guidance%20Addendum%201_0.pdf,2025-06-01,2025-12-31,Policy/Advisory,Guidance for implementing PQC in Commercial Solutions for Classified (CSfC) programs.,Compliance/Policy,Defense; Intelligence; Critical Infrastructure,NSA,FIPS 203;FIPS 204;FIPS 205;NSA CNSA 2.0,USA,"ML-KEM, ML-DSA",Level 5,CSfC certified products,CSfC vendors,High,New,Government & Policy,no-forbidden,,compliance-strategy;standards-bodies;vendor-risk;vpn-ssh-pqc,CNSA 2.0;FIPS 203/204/205,nsa-advisory,partial,NSA,,NSA portal redirect; no direct PDF link
ISO/IEC 18033-2:2006/AMD1:2017,Asymmetric Encryption Algorithms,https://www.iso.org/standard/37971.html,2006-01-01,2017-12-01,International Standard,ISO standard for asymmetric encryption. Updates planned for PQC KEMs.,Algorithm,Global; All industries,ISO/IEC JTC 1/SC 27,,Global,Classical + planned PQC,Various,Asymmetric encryption standards,Global,Medium,Updated,KEM,no-paywall,,crypto-agility;kms-pqc;hsm-pqc,ISO standards,iso-iec-sc27,yes,ISO,,paywall — ISO
ISO/IEC NP 29192-8,Lightweight Cryptography - Part 8: Post-Quantum Algorithms,https://www.iso.org/standard/88299.html,2024-06-01,2024-06-01,New Project,Standardization of lightweight PQC algorithms for constrained devices.,Algorithm,IoT; Embedded Systems; Mobile,ISO/IEC JTC 1/SC 27,,Global,Lattice; Hash-based,"L1,L3",Lightweight PQC for IoT,IoT implementations,Medium,Updated,International Frameworks,no-paywall,,5g-security;aerospace-pqc;iot-ot-pqc;vendor-risk,NIST Lightweight PQC;ISO URL dead as of 2026-03-25,iso-iec-sc27,yes,ISO,,paywall — ISO (not yet published)
China OSCCA GM/T 0108-2021,Technical Specification for Quantum Key Distribution Products,https://www.gmbz.org.cn/,2021-01-01,2021-01-01,National Standard,Chinese cryptographic industry standard for QKD products using deceptive state BB84.,Protocol,Government; Critical Infrastructure; Finance,OSCCA China,,China,QKD,N/A,Quantum key distribution systems,Chinese QKD vendors,Medium,Validated,KEM,no-homepage,,qkd,GB/T standards,iccs-china,no,,,commercial translation only; no free English PDF
China GB/T 42829-2023,Basic Requirements for Quantum Secure Communication Applications,https://www.gb688.cn/,2023-01-01,2023-01-01,National Standard,Chinese national standard defining requirements for quantum secure communication systems.,Compliance/Guidance,Government; Telecom; Critical Infrastructure,SAC China,,China,QKD,N/A,Quantum communication deployment,Chinese systems,Medium,New,Protocols,no-homepage,,qkd,GM/T standards,,partial,,,commercial translation only; no free English PDF
China GB/T 43692-2024,Quantum Communication Terms and Definitions,https://www.gb688.cn/,2024-01-01,2024-01-01,National Standard,Standardizes terminology for quantum communication in China.,Guidance,All quantum sectors; Research; Industry,SAC China,,China,N/A,N/A,Quantum communication terminology,Chinese quantum industry,Low,New,Government & Policy,no-homepage,,qkd,QKD standards,,partial,,,commercial translation only; no free English PDF
China YD/T 3834.1-2021,Quantum Key Distribution System Technical Requirements - Part 1,https://www.ccsa.org.cn/,2021-01-01,2021-01-01,Communications Industry Standard,Technical requirements for QKD systems based on BB84 protocol.,Protocol,Telecom; Government; Finance,CCSA China,China OSCCA GM/T 0108-2021,China,QKD,N/A,QKD system specifications,Telecom operators,Medium,Validated,Protocols,no-homepage,,qkd,,iccs-china,no,,,commercial translation only; no free English PDF
China CACR PQC Competition Results,Chinese Post-Quantum Cryptography Competition Winners,https://www.cacrnet.org.cn/,2020-02-01,2020-02-01,Competition Results,"Results of CACR national PQC competition: Aigi-sig, LAC.PKE, Aigis-enc (lattice-based).",Research/Report,Research; Cryptography Development,CACR China,,China,Lattice-based,"L1,L5",Potential Chinese PQC standards,Chinese research,Medium,Validated,Government & Policy,no-homepage,,quantum-threats,Similar to NIST PQC,iccs-china,no,,,portal requires browser navigation
China ICCS PQC Call for Proposals,ICCS Post-Quantum Cryptography Algorithm Solicitation,https://www.gmbz.org.cn/,2025-02-01,2025-03-15,Call for Proposals,"Chinese initiative for independent PQC algorithms for public-key crypto, hash functions, block ciphers.",Compliance/Policy,Government; Industry; Research,ICCS China,,China,Various PQC families,"L1,L3,L5",Chinese PQC algorithm standardization,Chinese vendors,High,New,Government & Policy,no-homepage,,compliance-strategy;quantum-threats,Chinese cryptography standards,iccs-china,no,,,portal requires browser navigation
Australia ASD PQC Guidance,Post-Quantum Cryptography Roadmap,https://www.cyber.gov.au/business-government/secure-design/planning-for-post-quantum-cryptography,2024-03-01,2024-03-01,Policy Recommendation,Australian guidance with aggressive 2030 deadline for PQC migration.,Compliance/Policy,Government; Critical Infrastructure,ASD Australia,NIST IR 8545;NIST IR 8547;NSA CNSA 2.0,Australia,N/A,N/A,Australian PQC timeline,Australian government,High,New,Government & Policy,no-network-error: The operation was aborted due to timeout,,crypto-agility;quantum-threats;compliance-strategy;pqc-risk-management;migration-program,CNSA 2.0,acsc,no,,,cyber.gov.au blocks automated download
IEEE 1609.2 Amendment,Security Services for Applications and Management Messages - PQC Update,https://standards.ieee.org/ieee/1609.2/10258/,2025-01-01,2025-12-31,Standard Amendment,IEEE vehicular communications security standard update for PQC.,Algorithm,Automotive; V2X; Transportation,IEEE,FIPS 203;FIPS 204,Global,Lattice-based,"L3,L5",Vehicle-to-everything communications,Automotive OEMs,Medium,New,Protocols,no-paywall,,5g-security;automotive-pqc;iot-ot-pqc,FIPS 203/204,ieee-sa,yes,IEEE,,paywall — IEEE Xplore
Samsung-Thales-ML-KEM-eSE-2026,Samsung/Thales Post-Quantum Embedded Secure Element (S3SSE2A),https://www.businesswire.com/news/home/20260106145232/en/Thales-Powers-CES-Winning-Post-Quantum-Chip-From-Samsung-Electronics,2026-01-06,2026-01-06,Released,Samsung System LSI and Thales bring ML-KEM quantum-resistant capabilities to embedded Secure Element (eSE). Two dedicated PQC hardware accelerators 18x faster than software. CES Best Cybersecurity Innovation Award winner. EAL6+ certification target. Crypto-agile architecture.,Industry News,IoT; Embedded Systems; Mobile; Hardware Security,Samsung System LSI; Thales,FIPS 203;NIST IR 8545;NIST IR 8547,Global,Lattice-based,"L3,L5",Embedded device security; IoT authentication,Hardware PQC implementations,High,New,Industry & Research,no-forbidden,,hsm-pqc;iot-ot-pqc,,,no,,,JS-rendered page; no static HTML
ISO-IEC-23837-1,ISO/IEC 23837-1:2023 - Security Requirements for Quantum Key Distribution (Part 1),https://www.iso.org/standard/77097.html,2023-03-01,2023-03-01,International Standard,Security requirements for QKD modules. Defines protection profiles and security targets analogous to Common Criteria for QKD hardware.,Compliance/Guidance,QKD Vendors; Government; Certification Bodies,ISO/IEC JTC 1/SC 27,ETSI-GS-QKD-008,Global,QKD,N/A,QKD module security certification,QKD hardware vendors; Certification labs,Medium,New,KEM,no-paywall,,qkd,Common Criteria,iso-iec-sc27,yes,ISO,,paywall — ISO
ISO-IEC-23837-2,ISO/IEC 23837-2:2023 - Evaluation and Testing of QKD Modules (Part 2),https://www.iso.org/standard/77098.html,2023-03-01,2023-03-01,International Standard,Testing methodology and evaluation criteria for QKD modules. Provides test vectors and conformance assessment procedures.,Compliance/Guidance,Testing Labs; QKD Vendors; Certification Bodies,ISO/IEC JTC 1/SC 27,ISO-IEC-23837-1,Global,QKD,N/A,QKD module testing and evaluation,Testing laboratories,Medium,Updated,KEM,no-paywall,,qkd,Common Criteria;ISO URL dead as of 2026-03-25,iso-iec-sc27,yes,ISO,,paywall — ISO
ENISA-EUDI-Wallet-Security,Security of the EUDI Wallet Architecture — ENISA,https://www.enisa.europa.eu/publications/security-of-the-eudi-wallet-architecture,2024-06-01,2024-06-01,Published,ENISA analysis of security risks and mitigations for the European Digital Identity Wallet architecture. Identifies EUDI Wallet providers as high-impact targets for early PQC adoption. Covers security requirements for credential formats trust framework key management (WSCD/WSCA) and protocol security. Provides recommendations for member state EUDI Wallet implementations.,Research/Report,Government; Identity; Technology; Finance,ENISA,EUDI-Wallet-ARF;eIDAS-2-Regulation,EU,N/A,N/A,EUDI Wallet Security; PQC Transition; Digital Identity Risk; WSCD; WSCA,N/A,High,Updated,International Frameworks,no-http-404,,digital-id,URL dead as of 2026-03-25,enisa,no,,,forbidden — ENISA blocks automated download
WEF-2026-Quantum-Security-Leaders,Why quantum security is a question leaders cannot ignore,https://www.weforum.org/stories/2026/02/quantum-security-question-leaders-cannot-ignore/,2026-02-01,2026-02-01,Published,World Economic Forum perspective for C-suite and board audiences on quantum security strategic risk. Frames PQC migration as a board-level priority with competitive and regulatory dimensions. Part of WEF's ongoing series on quantum readiness for business leaders.,Guidance,All industries,World Economic Forum (WEF),,Global,,,,,High,New,Industry & Research,no-forbidden,,exec-quantum-impact;pqc-business-case;pqc-governance,,wef,partial,,,JS-rendered; no static HTML
NSA-QKD-Advisory-2023,NSA Quantum Key Distribution and Quantum Cryptography,https://media.defense.gov/2023/Oct/24/2003324189/-1/-1/0/QUANTUM_KEY_DISTRIBUTION_QUANTUM_CRYPTOGRAPHY_20231024.PDF,2023-10-24,2023-10-24,Published,"NSA advisory explaining why it does not recommend QKD for national security systems. States that QKD addresses only the key distribution problem, requires special-purpose equipment, introduces trusted node vulnerabilities, and has side-channel risks in real implementations. Recommends PQC (CNSA 2.0 algorithms) as the primary solution. Key reference for balanced QKD vs PQC evaluation.",Guidance,Government;Defense;Finance,National Security Agency (NSA),,Global,QKD,All,QKD; Key Distribution,,High,,Government & Policy,no-forbidden,,qkd,,nsa-media,partial,NSA,,forbidden — NSA server blocks automated download
draft-ietf-jose-pqc-algorithms,Use of Post-Quantum Algorithms in JOSE,https://datatracker.ietf.org/doc/draft-ietf-jose-pqc-algorithms/,2024-01-01,2026-01-01,Internet-Draft,"Defines how to use ML-DSA (FIPS 204) and SLH-DSA (FIPS 205) as digital signature algorithms in JOSE JWS. Specifies alg identifiers ML-DSA-44, ML-DSA-65, ML-DSA-87, SLH-DSA-SHA2-128s and others for signing JWTs. The critical standard enabling PQC JWT signing across all JOSE implementations.",Standard (Draft),IT;Finance;Identity Management;APIs,IETF JOSE WG,FIPS 204;FIPS 205;RFC 7515;RFC 7518,Global,ML-DSA;SLH-DSA,L1;L2;L3;L5,JOSE;JWS;JWT Signing;COSE,In development,High,New,Protocols,no-http-404,,api-security-jwt;dev-quantum-impact;iam-pqc,,ietf,partial,IETF,,http-404; draft may be superseded
