question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
iot-ot-pqc-learn-001,iot-ot-pqc,IoT & OT Security,"According to RFC 7228, what are the RAM and flash memory constraints for a Class 0 constrained device?",Class 0 devices are defined as having less than 10 KiB of RAM and less than 100 KiB of flash memory. Examples of these devices include sensor tags and RFID chips. These severe constraints make many standard PQC algorithms infeasible for direct implementation on such hardware.,learn,recall,developer;architect,beginner;intermediate,Global,IoT;General,RFC 7228,,,,,,,/library?ref=RFC%207228;/learn/iot-ot-pqc,library_ref:RFC 7228 EXISTS,Key Concepts: RFC 7228 device classes
iot-ot-pqc-learn-002,iot-ot-pqc,IoT & OT Security,Which NIST standard was selected in 2023 as the lightweight AEAD algorithm for constrained environments?,NIST selected Ascon in 2023 as the lightweight Authenticated Encryption with Associated Data (AEAD) standard. It is designed specifically to complement PQC asymmetric algorithms in resource-constrained IoT environments.,learn,recall,developer;researcher,beginner;intermediate,Global,IoT;Cybersecurity,,,,,,,NIST,/learn/iot-ot-pqc,compliance_ref:NIST EXISTS,Key Concepts: Lightweight symmetric crypto
iot-ot-pqc-learn-003,iot-ot-pqc,IoT & OT Security,"What is the maximum payload size for CoAP/DTLS 1.3, and why does this pose a challenge for PQC?","CoAP/DTLS 1.3 has a maximum payload size of 1,024 bytes. This is challenging for PQC because the DTLS 1.3 handshake with PQC grows from approximately 5 KB to 22 KB, requiring over 15 fragments over the IPv6 minimum MTU.",learn,recall,developer;architect,intermediate;advanced,Global,IoT;Industrial Automation,,,,,,,,/learn/iot-ot-pqc,,Key Concepts: IoT protocol constraints
iot-ot-pqc-learn-004,iot-ot-pqc,IoT & OT Security,Which PQC signature algorithm produces the most compact signature according to the FIPS 206 draft?,"FN-DSA-512, referenced in the FIPS 206 draft, produces the most compact PQC signature with an average size of 666 bytes and a maximum of 690 bytes. This makes it highly suitable for constrained devices where bandwidth and storage are limited.",learn,recall,developer;architect,intermediate;advanced,Global,IoT;Cybersecurity,FIPS 206,,,,FN-DSA-512,,,/library?ref=FIPS%20206;/algorithms?highlight=FN-DSA-512;/learn/iot-ot-pqc,library_ref:FIPS 206 EXISTS|algorithm:FN-DSA-512 IN algorithms_csv,Key Concepts: Algorithm selection for constrained devices
iot-ot-pqc-learn-005,iot-ot-pqc,IoT & OT Security,"What is the RAM requirement for the FrodoKEM-640 algorithm, and which device classes does this exclude?","FrodoKEM-640 requires approximately 180 KB of stack RAM. This memory footprint makes it infeasible for Class 0 and Class 1 devices: Class 0 has only ~2 KB of RAM and Class 1 has at most 10 KB (per RFC 7228), both far below FrodoKEM-640's 180 KB requirement.",learn,recall,developer;architect,intermediate;advanced,Global,IoT;Industrial Automation,RFC 7228,,,,FrodoKEM-640,,,/library?ref=RFC%207228;/algorithms?highlight=FrodoKEM-640;/learn/iot-ot-pqc,library_ref:RFC 7228 EXISTS|algorithm:FrodoKEM-640 IN algorithms_csv,Key Concepts: Algorithm selection for constrained devices
iot-ot-pqc-learn-006,iot-ot-pqc,IoT & OT Security,"According to CNSA 2.0, which algorithms are mandated for NSS firmware by the year 2030?",CNSA 2.0 mandates the use of LMS (Leighton-Micali Signature) or XMSS (eXtended Merkle Signature Scheme) for National Security Systems (NSS) firmware by 2030. These stateful hash-based signatures are chosen for their quantum resistance and efficiency on constrained hardware.,learn,recall,executive;architect;ops,intermediate;advanced,USA,Government;Defense,,,,,Signature,,,/algorithms?highlight=Signature;/learn/iot-ot-pqc,algorithm:Signature IN algorithms_csv,Key Concepts: Firmware signing for IoT
iot-ot-pqc-learn-007,iot-ot-pqc,IoT & OT Security,How does the size of a PQC ML-DSA-65 certificate chain compare to a classical ECDSA P-256 chain?,"A classical ECDSA P-256 certificate chain is approximately 3 KB, whereas a PQC ML-DSA-65 chain balloons to about 22 KB. This represents a 7x increase in size, which can exceed the total RAM of Class 1 devices.",learn,comprehension,architect;developer,intermediate;advanced,Global,IoT;Cybersecurity,,,,,ECDSA P-256;ML-DSA-65,,,/algorithms?highlight=ECDSA%20P-256;/algorithms?highlight=ML-DSA-65;/learn/iot-ot-pqc,algorithm:ECDSA P-256 IN algorithms_csv|algorithm:ML-DSA-65 IN algorithms_csv,Key Concepts: Certificate chain bloat
iot-ot-pqc-learn-008,iot-ot-pqc,IoT & OT Security,Why are SCADA systems with 20-30 year lifecycles considered high-risk for Harvest-Now-Decrypt-Later (HNDL) attacks?,"SCADA systems often have asset lifecycles of 20 to 30 years, meaning devices deployed today will still be operational when cryptographically relevant quantum computers (CRQCs) arrive. This allows adversaries to harvest encrypted data now and decrypt it later once quantum capabilities exist.",learn,comprehension,executive;architect;ops,intermediate;advanced,Global,Energy;Manufacturing;Water,,,,,,,,/learn/iot-ot-pqc,,Key Concepts: Long-lifetime challenge
iot-ot-pqc-learn-009,iot-ot-pqc,IoT & OT Security,What is the primary advantage of using LMS over XMSS for firmware signing on constrained MCUs?,"LMS offers a significantly faster verifier on constrained microcontrollers, performing approximately 4x faster than XMSS on Cortex-M4 processors. Additionally, LMS provides a very small public key size of 56 bytes, reducing storage overhead.",learn,comprehension,developer;architect,intermediate;advanced,Global,IoT;Automotive,,,,,,,,/learn/iot-ot-pqc,,Key Concepts: Firmware signing for IoT
iot-ot-pqc-learn-010,iot-ot-pqc,IoT & OT Security,How does the Purdue Model categorize the migration priority for Level 5 versus Level 0 in SCADA environments?,"Level 5 (Enterprise Network) is categorized as critical priority because it is internet-facing and a primary target for HNDL attacks. In contrast, Level 0 (Physical Process) has low priority as it is typically air-gapped or gateway-mediated with a 25-year lifecycle.",learn,comprehension,architect;ops;executive,intermediate;advanced,Global,Energy;Manufacturing;Water,,,,,,,,/learn/iot-ot-pqc,,Key Concepts: SCADA/ICS security (Purdue model)
iot-ot-pqc-learn-011,iot-ot-pqc,IoT & OT Security,Why is session resumption using Pre-Shared Keys (PSK) preferred over repeated handshakes for battery-powered IoT devices?,"PQC operations consume significantly more energy than classical cryptography, which can drain batteries quickly. Session resumption via PSK avoids the need for repeated, energy-intensive PQC handshakes, thereby extending device battery life.",learn,comprehension,developer;architect,intermediate;advanced,Global,IoT;Smart Metering,,,,,,,,/learn/iot-ot-pqc,,Key Concepts: Energy constraints
iot-ot-pqc-learn-012,iot-ot-pqc,IoT & OT Security,"What is the impact of certificate chain bloat on Class 1 devices, and how can Merkle Tree Certificates mitigate this?","The 22 KB size of a PQC ML-DSA-65 chain exceeds the total RAM of Class 1 devices (~10 KB), making standard TLS handshakes impossible. Merkle Tree Certificates can reduce this chain size by 85%, bringing it within feasible limits for constrained memory.",learn,comprehension,architect;developer,intermediate;advanced,Global,IoT;Cybersecurity,,,,,ML-DSA-65,,,/algorithms?highlight=ML-DSA-65;/learn/iot-ot-pqc,algorithm:ML-DSA-65 IN algorithms_csv,Key Concepts: Certificate chain bloat
iot-ot-pqc-workshop-013,iot-ot-pqc,IoT & OT Security,"A smart meter (Class 1) needs to sign firmware updates. Which algorithm is most suitable given its memory constraints, and why?","LMS is the most suitable choice because it requires only 0.5 KB of RAM for verification and has a tiny 56-byte public key. Unlike FrodoKEM-640 which needs 180 KB, LMS fits comfortably within the ~10 KB RAM limit of Class 1 devices.",workshop,application,developer;architect,intermediate;advanced,Global,Smart Grid;IoT,,,,,FrodoKEM-640,,,/algorithms?highlight=FrodoKEM-640;/learn/iot-ot-pqc,algorithm:FrodoKEM-640 IN algorithms_csv,Key Concepts: Algorithm selection for constrained devices; Firmware signing for IoT
iot-ot-pqc-workshop-014,iot-ot-pqc,IoT & OT Security,You are designing a LoRaWAN 1.1 network (222 B payload) that requires PQC security. How should you handle the key exchange?,"Since the 222-byte payload is too small for PQC handshakes, you must use out-of-band provisioning for keys. Direct PQC negotiation over the air is problematic due to the severe bandwidth constraints of LoRaWAN.",workshop,application,architect;developer,intermediate;advanced,Global,IoT;Smart City,,,,,,,,/learn/iot-ot-pqc,,Key Concepts: IoT protocol constraints
