reference_id,document_title,download_url,initial_publication_date,last_update_date,document_status,short_description,document_type,applicable_industries,authors_or_organization,dependencies,region_scope,AlgorithmFamily,SecurityLevels,ProtocolOrToolImpact,ToolchainSupport,MigrationUrgency,change_status,manual_category,downloadable,local_file,module_ids,misc_info
KpqC-Competition-Results,Korean Post-Quantum Cryptography Competition Final Results,https://www.kpqc.or.kr/competition.html,2025-01-31,2025-01-31,Final Results,Korea selects HAETAE and AIMer (signatures) plus SMAUG-T and NTRU+ (KEMs) as national PQC standards. Target standardization by 2029 migration by 2035.,Algorithm,Government; Telecom; Finance; Critical Infrastructure,KISA; Ministry of Science and ICT; NIS Korea,NIST IR 8545;NIST IR 8547,South Korea; APAC,Lattice-based; MPC-based,"L1,L3,L5",Korean national PQC standards,Korean government systems,High,New,KEM and Digital Signature,yes,public/library/KpqC-Competition-Results.html,quantum-threats,KpqC Competition
NIST-FIPS140-3-IG-PQC,FIPS 140-3 Implementation Guidance for Post-Quantum Cryptography,https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,2025-09-02,2025-09-02,Published Update,Updated FIPS 140-3 Implementation Guidance adding self-test requirements for FIPS 203/204/205 PQC algorithms and new guidance for Key Encapsulation Mechanisms.,Compliance/Guidance,Government; Finance; Defense; HSM Vendors,NIST CMVP,FIPS 203;FIPS 204;FIPS 205,USA; Global,Lattice; Hash-based,"L1,L3,L5",FIPS 140-3 validation requirements,HSM vendors; FIPS module developers,High,New,General PQC Migration,yes,public/library/NIST-FIPS140-3-IG-PQC.pdf,kms-pqc;hsm-pqc;entropy-randomness,FIPS 140-3
3GPP-PQC-Study-2025,Study on Preparing for Transition to Post Quantum Cryptography in 3GPP,https://www.3gpp.org/ftp/Specs/archive/33_series/33.841/,2025-05-01,2025-05-01,Study Item Approved,"3GPP study on integrating standalone or hybrid PQC algorithms into existing 5G security protocols. References TR 33.841 PQC Study. Covers hybrid PQC for TLS, IPSec, IKEv2 in 5G.",Research/Report,Mobile Networks; Telecom; 5G,3GPP SA3,NIST IR 8545;NIST IR 8547,Global,Hybrid PQC approaches,"L3,L5",5G network security; TLS; IPSec; IKEv2,5G network equipment vendors,High,New,Protocols,yes,public/library/3GPP-PQC-Study-2025.html,5g-security,TR 33.841;IETF PQC RFCs
liboqs-v0.15.0,Open Quantum Safe liboqs Library v0.15.0,https://openquantumsafe.org/liboqs/,2025-11-14,2025-11-14,Released,Latest liboqs release with updated PQC algorithm implementations including NIST-standardized ML-KEM ML-DSA and SLH-DSA. Part of Linux Foundation PQCA.,Algorithm,Software Development; IT; Research,Open Quantum Safe; Linux Foundation PQCA,FIPS 203;FIPS 204;FIPS 205,Global,Lattice; Hash-based; Code-based,"L1,L3,L5",TLS; SSH; X.509 integration,Open source PQC implementations,High,New,General PQC Migration,yes,public/library/liboqs-v0.15.0.html,pqc-101,
TCG-TPM-PQC-Spec-2025,TPM 2.0 Post-Quantum Cryptography Library Specification,https://trustedcomputinggroup.org/resource/tpm-library-specification/,2025-07-01,2025-07-01,Draft Specification,TPM 2.0 Library updates incorporating PQC algorithms with hybrid classical+PQ support. Aligns with TPM 2.0 V1.85 standard updated July 2025.,Algorithm,Hardware Security; IoT; Embedded Systems; Enterprise,Trusted Computing Group,FIPS 203;FIPS 204;NIST SP 800-208,Global,Lattice; Hash-based,"L1,L3,L5",TPM-based authentication and key storage,TPM manufacturers; Platform vendors,High,New,General PQC Migration,no-forbidden,,hsm-pqc;iot-ot-pqc,
FIPS 203,Module-Lattice-Based Key-Encapsulation Mechanism Standard (ML-KEM),https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.203.pdf,2023-08-24,2024-08-13,Final Standard,"Specifies ML-KEM (Kyber) with three parameter sets (512, 768, 1024) for quantum-resistant key establishment. Errata Oct 2024.",Algorithm,Generic IT; Finance; Telecom; Government; Healthcare; Critical Infrastructure,NIST,NIST IR 8545;NIST IR 8547,USA; Global,Lattice-based,"L1,L3,L5","TLS 1.3, QUIC, SSH, IPsec/IKE, CMS key wrapping",OpenSSL 3.5+; BoringSSL; AWS-LC; liboqs,High,Validated,KEM,yes,public/library/FIPS_203.pdf,pqc-101;quantum-threats;hybrid-crypto;5g-security;crypto-agility;kms-pqc;hsm-pqc;tls-basics;vpn-ssh-pqc;email-signing;entropy-randomness;api-security-jwt;iot-ot-pqc,NIST PQC Project;CRYSTALS-Kyber
FIPS 204,Module-Lattice-Based Digital Signature Standard (ML-DSA),https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.204.pdf,2023-08-24,2024-08-13,Final Standard,"Specifies ML-DSA (Dilithium) signature algorithms with three parameter sets (44, 65, 87). Errata Oct 2024.",Algorithm,IT; Finance; Telecom; Government; Identity Management,NIST,FIPS 186-5,USA; Global,Lattice-based,"L2,L3,L5","X.509 certificates, TLS authentication, code signing, document signature",OpenSSL 3.5+; BoringSSL; AWS-LC; liboqs,High,Validated,Digital Signature,yes,public/library/FIPS_204.pdf,pqc-101;quantum-threats;hybrid-crypto;crypto-agility;kms-pqc;hsm-pqc;tls-basics;vpn-ssh-pqc;email-signing;pki-workshop;entropy-randomness;api-security-jwt;iot-ot-pqc;code-signing,CRYSTALS-Dilithium
FIPS 205,Stateless Hash-Based Digital Signature Standard (SLH-DSA),https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.205.pdf,2023-08-24,2024-08-13,Final Standard,"Specifies SLH-DSA (SPHINCS+) stateless hash-based signatures with 12 parameter sets. The stateless alternative to LMS/XMSS — no state management required, but larger signatures.",Algorithm,Firmware; Critical Infrastructure; Software Updates; Long-term Archival,NIST,NIST SP 800-208,USA; Global,Hash-based (stateless),"L1,L3,L5","CMS signatures, software signing, long-term archival signing",liboqs; BoringSSL; Bouncy Castle,Medium,Validated,Digital Signature,yes,public/library/FIPS_205.pdf,pqc-101;quantum-threats;stateful-signatures;kms-pqc;hsm-pqc;email-signing;pki-workshop;crypto-agility;api-security-jwt;iot-ot-pqc;code-signing,SPHINCS+
FIPS 206,FFT over NTRU-Lattice-Based Digital Signature Algorithm (FN-DSA),https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.206.pdf,2025-01-01,2025-12-09,Draft Standard (IPD pending),"Specifies FN-DSA (FALCON) compact signature algorithm with two parameter sets (512, 1024). IPD submitted for internal NIST clearance August 2025; not yet publicly released. Offers significantly smaller signatures than ML-DSA.",Algorithm,Constrained Devices; IoT; Embedded Systems; Mobile,NIST,FIPS 186-5;draft-ietf-cose-falcon-03,USA; Global,Lattice-based (NTRU),"L1,L5",Compact signatures for resource-constrained environments,In development,High,New,Digital Signature,yes,public/library/FIPS_206.html,crypto-agility;code-signing;email-signing;api-security-jwt;pqc-101;iot-ot-pqc,
FIPS 186-5,Digital Signature Standard (DSS),https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.186-5.pdf,2023-02-03,2025-05-12,Final Standard,"Specifies RSA, ECDSA, EdDSA. Removes DSA. Errata May 2025. Transition to PQC planned.",Algorithm,IT; Finance; Gov; Web PKI,NIST,,USA; Global,Classical,Various,"TLS, CMS, PKI, code signing",Universal,Medium,Validated,Digital Signature,yes,public/library/FIPS_186-5.pdf,digital-assets;pki-workshop;code-signing,PKCS#1;EdDSA RFCs
