Country,FlagCode,OrgName,OrgFullName,OrgLogoUrl,Type,Category,StartYear,EndYear,Title,Description,SourceUrl,SourceDate,Status,trusted_source_id,local_file,peer_reviewed,vetting_body,source_url_quality,trusted_source_id_status,data_quality_notes,status,deprecated_at,deprecated_reason,related_standards,library_refs,entity_type,is_sim_deadline,sim_milestone,mandate_type,event_id,last_verified
European Union,EU,EU Horizon,European Union Horizon Europe Program,,Phase,Research,2026,2028,QARC Project Execution,Brno University of Technology coordinates EU Horizon QARC (Quantum-Resistant Cryptography in Practice) project focusing on hybrid schemes cryptographic agility and real-world PQC deployment pilots across EU eGovernment and cloud infrastructures.,https://cordis.europa.eu/project/id/101225691,2026-06-29,Validated,ec,timeline/European_Union_EU_Horizon_QARC_Project_Execution.html,partial,EU Horizon,url_authoritative,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and nzism now resolved via proposed trusted_sources).,active,,,,,government,,,,european-union-eu-horizon-qarc-project-execution,2026-08-11
Global,INT,IBM,International Business Machines Corporation,,Milestone,POC,2025,2025,Quantum Safe Explorer Launched,IBM launches Quantum Safe Explorer tool to help organizations scan source and object code to identify cryptographic assets dependencies and vulnerabilities creating a CBOM.,https://www.ibm.com/new/product-blog/empowering-cios-to-accelerate-crypto-agility-with-ibm-quantum-safe-explorer,2025,Validated,ibm-research,timeline/Global_IBM_Quantum_Safe_Explorer_Launched.html,no,IBM,url_authoritative,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and nzism now resolved via proposed trusted_sources).,active,,,,,vendor,,,,global-ibm-quantum-safe-explorer-launched,2026-08-12
Global,INT,IBM,International Business Machines Corporation,,Milestone,POC,2025,2025,IBM Heron R2 Processor Available,IBM makes Heron R2 processor available with 156 qubits designed to enable more complex quantum circuits with low error rates facilitating quantum utility at scale.,https://www.ibm.com/quantum/blog/qdc-2024,2024-11-13,Validated,ibm-research,timeline/Global_IBM_IBM_Heron_R2_Processor_Available.html,no,IBM,url_authoritative,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and nzism now resolved via proposed trusted_sources).,active,,,,,vendor,,,,global-ibm-ibm-heron-r2-processor-available,2026-08-11
Global,INT,IBM,International Business Machines Corporation,,Milestone,Research,2025,2025,IBM Next-Gen Processor Development,IBM advances development of its next-generation modular quantum processor incorporating features for high-efficiency quantum error correction targeting early 2026 testing milestones.,https://www.ibm.com/quantum/blog/qdc-2024,2024-11,Validated,ibm-research,timeline/Global_IBM_IBM_Heron_R2_Processor_Available.html,partial,IBM,url_authoritative,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and nzism now resolved via proposed trusted_sources).,active,,,,,vendor,,,,global-ibm-ibm-next-gen-processor-development,2026-08-11
Global,INT,IBM,International Business Machines Corporation,,Phase,POC,2026,2026,IBM Kookaburra Processor Released,IBM releases Kookaburra first modular 1386-qubit processor designed to store and process encoded information combining quantum memory with logic operations.,https://www.ibm.com/quantum/blog/qdc-2024,2024-11,Validated,ibm-research,timeline/Global_IBM_IBM_Heron_R2_Processor_Available.html,no,IBM,url_authoritative,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and nzism now resolved via proposed trusted_sources).,active,,,,,vendor,,,,global-ibm-ibm-kookaburra-processor-released,2026-08-11
Global,INT,IBM,International Business Machines Corporation,,Phase,Research,2026,2026,IBM Quantum Advantage Target,IBM targets achieving and verifying quantum advantage demonstrating verifiable speed-ups over classical computing for meaningful tasks.,"https://newsroom.ibm.com/2025-11-12-ibm-delivers-new-quantum-processors,-software,-and-algorithm-breakthroughs-on-path-to-advantage-and-fault-tolerance",2025-11-12,Validated,ibm-research,timeline/Global_IBM_IBM_Quantum_Advantage_Target.html,partial,IBM,url_authoritative,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and nzism now resolved via proposed trusted_sources).,active,,,,,vendor,,,,global-ibm-ibm-quantum-advantage-target,2026-08-11
Global,INT,Microsoft,Microsoft Corporation,,Milestone,Policy,2023,2023,Quantum Safe Program Launch,Microsoft formally launches Quantum Safe Program (QSP) to build quantum-safe future across all products and services. Source URL references August 2025 roadmap post which details the QSP program history.,https://www.microsoft.com/en-us/security/blog/2025/08/20/quantum-safe-security-progress-towards-next-generation-cryptography/,2025-08-20,Validated,microsoft,timeline/Global_Microsoft_Quantum_Safe_Program_Launch.html,yes,Microsoft,url_authoritative,registered,"2026-06-06: url_authoritative — originating org's own domain (www.microsoft.com), page verified live with PQC keywords + cached as evidence. Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and nzism now resolved via proposed trusted_sources).",active,,,,,vendor,,,,global-microsoft-quantum-safe-program-launch,2026-08-11
Global,INT,Microsoft,Microsoft Corporation,,Milestone,Research,2025,2025,Majorana 1 Quantum Chip,Microsoft announces development of Majorana 1 quantum chip.,https://azure.microsoft.com/en-us/blog/quantum/2025/02/19/microsoft-unveils-majorana-1-the-worlds-first-quantum-processor-powered-by-topological-qubits/,2025-02-19,Validated,microsoft,timeline/Global_Microsoft_Majorana_1_Quantum_Chip.html,partial,Microsoft,url_authoritative,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and nzism now resolved via proposed trusted_sources).,active,,,,,vendor,,,,global-microsoft-majorana-1-quantum-chip,2026-08-11
Global,INT,Microsoft,Microsoft Corporation,,Milestone,Policy,2025,2025,Microsoft QSP Roadmap Published,Microsoft publishes comprehensive roadmap detailing progress toward next-generation cryptography and 2033 completion target.,https://www.microsoft.com/en-us/security/blog/2025/08/20/quantum-safe-security-progress-towards-next-generation-cryptography/,2025-08-20,Validated,microsoft,timeline/Global_Microsoft_Quantum_Safe_Program_Launch.html,yes,Microsoft,url_authoritative,registered,"2026-06-06: url_authoritative — Microsoft's own quantum-safe roadmap blog (microsoft.com/security/blog), the authoritative source for Microsoft's own transition phases; cached. Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and nzism now resolved via proposed trusted_sources).",active,,,,,vendor,,,,global-microsoft-microsoft-qsp-roadmap-published,2026-08-11
Global,INT,Microsoft,Microsoft Corporation,,Phase,Migration,2026,2027,Core Infrastructure Transition,Microsoft accelerates QSP transition for core infrastructure including signing services and network services starting in 2026 with Windows Azure M365 integration beginning 2027.,https://www.microsoft.com/en-us/security/blog/2025/08/20/quantum-safe-security-progress-towards-next-generation-cryptography/,2025-08-20,Validated,microsoft,timeline/Global_Microsoft_Quantum_Safe_Program_Launch.html,no,Microsoft,url_authoritative,registered,"2026-06-06: url_authoritative — Microsoft's own quantum-safe roadmap blog (microsoft.com/security/blog), the authoritative source for Microsoft's own transition phases; cached. Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and nzism now resolved via proposed trusted_sources).",active,,,,,vendor,,,,global-microsoft-core-infrastructure-transition,2026-08-16
