reference_id,document_title,download_url,initial_publication_date,last_update_date,document_status,short_description,document_type,applicable_industries,authors_or_organization,dependencies,region_scope,AlgorithmFamily,SecurityLevels,ProtocolOrToolImpact,ToolchainSupport,MigrationUrgency,change_status,manual_category,downloadable,local_file,module_ids,misc_info,trusted_source_id,peer_reviewed,vetting_body,github_contribution_url
KpqC-Competition-Results,Korean Post-Quantum Cryptography Competition Final Results,https://www.kpqc.or.kr/competition.html,2025-01-31,2025-01-31,Final Results,Korea selects HAETAE and AIMer (signatures) plus SMAUG-T and NTRU+ (KEMs) as national PQC standards. Target standardization by 2029 migration by 2035.,Algorithm,Government; Telecom; Finance; Critical Infrastructure,KISA; Ministry of Science and ICT; NIS Korea,NIST IR 8545;NIST IR 8547,South Korea; APAC,Lattice-based; MPC-based,"L1,L3,L5",Korean national PQC standards,Korean government systems,High,New,Algorithm Specifications,yes,public/library/KpqC-Competition-Results.html,quantum-threats;standards-bodies,KpqC Competition,kisa,partial,NIST,
NIST-FIPS140-3-IG-PQC,FIPS 140-3 Implementation Guidance for Post-Quantum Cryptography,https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,2025-09-02,2025-09-02,Published Update,Updated FIPS 140-3 Implementation Guidance adding self-test requirements for FIPS 203/204/205 PQC algorithms and new guidance for Key Encapsulation Mechanisms.,Compliance/Guidance,Government; Finance; Defense; HSM Vendors,NIST CMVP,FIPS 203;FIPS 204;FIPS 205,USA; Global,Lattice; Hash-based,"L1,L3,L5",FIPS 140-3 validation requirements,HSM vendors; FIPS module developers,High,New,NIST Standards,yes,public/library/NIST-FIPS140-3-IG-PQC.pdf,confidential-computing;crypto-dev-apis;database-encryption-pqc;entropy-randomness;hsm-pqc;kms-pqc;ops-quantum-impact;secrets-management-pqc;standards-bodies;crypto-mgmt-modernization,FIPS 140-3,nist-csrc,partial,NIST,
3GPP-PQC-Study-2025,Study on Preparing for Transition to Post Quantum Cryptography in 3GPP,https://www.3gpp.org/ftp/Specs/archive/33_series/33.841/,2025-05-01,2025-05-01,Study Item Approved,"3GPP study on integrating standalone or hybrid PQC algorithms into existing 5G security protocols. References TR 33.841 PQC Study. Covers hybrid PQC for TLS, IPSec, IKEv2 in 5G.",Research/Report,Mobile Networks; Telecom; 5G,3GPP SA3,NIST IR 8545;NIST IR 8547,Global,Hybrid PQC approaches,"L3,L5",5G network security; TLS; IPSec; IKEv2,5G network equipment vendors,High,New,Protocols,yes,public/library/3GPP-PQC-Study-2025.html,5g-security;standards-bodies;web-gateway-pqc,TR 33.841;IETF PQC RFCs,gsma,no,,
liboqs-v0.15.0,Open Quantum Safe liboqs Library v0.15.0,https://openquantumsafe.org/liboqs/,2025-11-14,2025-11-14,Released,Latest liboqs release with updated PQC algorithm implementations including NIST-standardized ML-KEM ML-DSA and SLH-DSA. Part of Linux Foundation PQCA.,Algorithm,Software Development; IT; Research,Open Quantum Safe; Linux Foundation PQCA,FIPS 203;FIPS 204;FIPS 205,Global,Lattice; Hash-based; Code-based,"L1,L3,L5",TLS; SSH; X.509 integration,Open source PQC implementations,High,New,Migration Guidance,yes,public/library/liboqs-v0.15.0.html,crypto-dev-apis;dev-quantum-impact;pqc-101;research-quantum-impact,,oqs-project,no,,
TCG-TPM-V185-Part0,TCG TPM 2.0 Library V1.85 RC4 — Part 0: Introduction,https://trustedcomputinggroup.org/resource/tpm-library-specification/,2025-01-01,2025-01-01,Draft Specification,Overview and change summary for the TCG TPM 2.0 Library V1.85 RC4 specification. Introduces PQC algorithm IDs (TPM_ALG_MLKEM=0x00A0; TPM_ALG_MLDSA=0x00A1) and explains the rationale for enlarging TPM_BUFFER_MAX from 4096 to 8192 bytes to accommodate ML-DSA-87 signatures.,Algorithm,Hardware Security; IoT; Embedded Systems; Enterprise,Trusted Computing Group,FIPS 203;FIPS 204;TCG-TPM-V185-Part1;TCG-TPM-V185-Part2;TCG-TPM-V185-Part3,Global,Lattice; Hash-based,"L1,L3,L5",TPM-based key hierarchy and attestation,TPM manufacturers; Platform vendors,High,New,Algorithm Specifications,yes,public/library/TCG-TPM-V185-Part0-Introduction.pdf,aerospace-pqc;automotive-pqc;confidential-computing;hsm-pqc;iot-ot-pqc;secure-boot-pqc,,tcg,yes,TCG,
TCG-TPM-V185-Part1,TCG TPM 2.0 Library V1.85 RC4 — Part 1: Architecture,https://trustedcomputinggroup.org/resource/tpm-library-specification/,2025-01-01,2025-01-01,Draft Specification,Defines the TPM 2.0 architecture including the four-hierarchy model (Platform/Endorsement/Storage/Owner) and their handle values (TPM_RH_ENDORSEMENT=0x4000000B; TPM_RH_OWNER=0x40000001; TPM_RH_PLATFORM=0x4000000C). Specifies PQC key roles (EK; SRK; AIK; IDevID) and the impact of ML-KEM-768 and ML-DSA-65 adoption on attestation flows and TPM_BUFFER_MAX.,Architecture,Hardware Security; IoT; Embedded Systems; Enterprise,Trusted Computing Group,FIPS 203;FIPS 204,Global,Lattice; Hash-based,"L1,L3,L5",TPM key hierarchy; Attestation; Secure boot,TPM manufacturers; Platform vendors; Device identity,High,New,Architecture,yes,public/library/TCG-TPM-V185-Part1-Architecture.pdf,aerospace-pqc;automotive-pqc;confidential-computing;hsm-pqc;iot-ot-pqc;secure-boot-pqc,,tcg,yes,TCG,
TCG-TPM-V185-Part2,TCG TPM 2.0 Library V1.85 RC4 — Part 2: Structures,https://trustedcomputinggroup.org/resource/tpm-library-specification/,2025-01-01,2025-01-01,Draft Specification,Normative structure definitions for TPM 2.0 V1.85. Assigns TPM_ALG_MLKEM=0x00A0 and TPM_ALG_MLDSA=0x00A1. Defines TPMT_ASYM_SCHEME for ML-KEM encapsulation and ML-DSA signing. Specifies key-size constants: ML-KEM-768 pk=1184B/ct=1088B; ML-DSA-65 pk=1952B/sig=3309B. Sets TPM_BUFFER_MAX=8192 and TPM2B_MAX_BUFFER size.,Algorithm,Hardware Security; IoT; Embedded Systems; Enterprise,Trusted Computing Group,FIPS 203;FIPS 204;TCG-TPM-V185-Part1,Global,Lattice; Hash-based,"L1,L3,L5",TPM wire protocol structures; Key size budgeting,TPM manufacturers; Firmware engineers,High,New,Algorithm Specifications,yes,public/library/TCG-TPM-V185-Part2-Structures.pdf,aerospace-pqc;automotive-pqc;confidential-computing;hsm-pqc;iot-ot-pqc;secure-boot-pqc,,tcg,yes,TCG,
TCG-TPM-V185-Part3,TCG TPM 2.0 Library V1.85 RC4 — Part 3: Commands,https://trustedcomputinggroup.org/resource/tpm-library-specification/,2025-01-01,2025-01-01,Draft Specification,Command specification for TPM 2.0 V1.85. Defines TPM2_CreatePrimary for PQC key roles using ML-KEM-768 (EK/SRK; TPM_ALG_MLKEM=0x00A0) and ML-DSA-65 (AIK/IDevID; TPM_ALG_MLDSA=0x00A1). Specifies TPM2_Quote behaviour with ML-DSA signatures and TPM2_EncryptDecap for KEM-based credential activation replacing classical RSA-OAEP.,Algorithm,Hardware Security; IoT; Embedded Systems; Enterprise,Trusted Computing Group,FIPS 203;FIPS 204;TCG-TPM-V185-Part1;TCG-TPM-V185-Part2,Global,Lattice; Hash-based,"L1,L3,L5",TPM commands; Attestation; Credential activation,TPM manufacturers; Firmware engineers; Protocol implementers,High,New,Algorithm Specifications,yes,public/library/TCG-TPM-V185-Part3-Commands.pdf,aerospace-pqc;automotive-pqc;confidential-computing;hsm-pqc;iot-ot-pqc;secure-boot-pqc,,tcg,yes,TCG,
FIPS 203,Module-Lattice-Based Key-Encapsulation Mechanism Standard (ML-KEM),https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.203.pdf,2024-08-13,2026-04-12,Final Standard,"Specifies ML-KEM (Kyber) with three parameter sets (512, 768, 1024) for quantum-resistant key establishment. Errata Oct 2024.",Algorithm,Generic IT; Finance; Telecom; Government; Healthcare; Critical Infrastructure,NIST,,USA; Global,Lattice-based,"L1,L3,L5","TLS 1.3, QUIC, SSH, IPsec/IKE, CMS key wrapping",OpenSSL 3.5+; BoringSSL; AWS-LC; liboqs,High,Validated,KEM,yes,public/library/FIPS_203.pdf,5g-security;aerospace-pqc;ai-security-pqc;api-security-jwt;automotive-pqc;confidential-computing;crypto-agility;crypto-dev-apis;database-encryption-pqc;dev-quantum-impact;email-signing;emv-payment-pqc;energy-utilities-pqc;entropy-randomness;healthcare-pqc;hsm-pqc;hybrid-crypto;iot-ot-pqc;kms-pqc;ops-quantum-impact;os-pqc;pqc-101;quantum-threats;secrets-management-pqc;standards-bodies;tls-basics;vpn-ssh-pqc;web-gateway-pqc;iam-pqc,NIST PQC Project;CRYSTALS-Kyber,nist-csrc,yes,NIST,
FIPS 204,Module-Lattice-Based Digital Signature Standard (ML-DSA),https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.204.pdf,2024-08-13,2026-04-12,Final Standard,"Specifies ML-DSA (Dilithium) signature algorithms with three parameter sets (44, 65, 87). Errata Oct 2024.",Algorithm,IT; Finance; Telecom; Government; Identity Management,NIST,FIPS 186-5,USA; Global,Lattice-based,"L2,L3,L5","X.509 certificates, TLS authentication, code signing, document signature",OpenSSL 3.5+; BoringSSL; AWS-LC; liboqs,High,Validated,Digital Signature,yes,public/library/FIPS_204.pdf,aerospace-pqc;ai-security-pqc;api-security-jwt;automotive-pqc;code-signing;confidential-computing;crypto-agility;crypto-dev-apis;dev-quantum-impact;email-signing;emv-payment-pqc;energy-utilities-pqc;entropy-randomness;healthcare-pqc;hsm-pqc;hybrid-crypto;iam-pqc;iot-ot-pqc;kms-pqc;ops-quantum-impact;os-pqc;pki-workshop;platform-eng-pqc;pqc-101;quantum-threats;secrets-management-pqc;secure-boot-pqc;standards-bodies;tls-basics;vpn-ssh-pqc;web-gateway-pqc;merkle-tree-certs,CRYSTALS-Dilithium,nist-csrc,yes,NIST,
