question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
api-security-jwt-learn-001,api-security-jwt,API Security & JWT,Which NIST standard defines the ML-DSA algorithm used for post-quantum JWT signing?,The ML-DSA algorithm is defined in FIPS 204. This standard provides the digital signature scheme that replaces classical algorithms like RS256 and ES256 to protect against quantum attacks.,learn,recall,developer;architect,intermediate,Global,General,FIPS 204,,,,,,NIST,/library?ref=FIPS%20204;/learn/api-security-jwt,library_ref:FIPS 204 EXISTS|compliance_ref:NIST EXISTS,RAG Summary: PQC JWT signing with ML-DSA (FIPS 204)
api-security-jwt-learn-002,api-security-jwt,API Security & JWT,What is the specific IETF draft that defines new algorithm values for post-quantum JOSE?,"The IETF draft defining new algorithm values for post-quantum JOSE is draft-ietf-jose-pqc. This document outlines how to integrate ML-DSA and ML-KEM into the JWT, JWS, and JWE frameworks.",learn,recall,developer;researcher,intermediate,Global,General,,,,,KEM,,IETF,/algorithms?highlight=KEM;/learn/api-security-jwt,algorithm:KEM IN algorithms_csv|compliance_ref:IETF EXISTS,RAG Summary: PQC JWT signing with ML-DSA
api-security-jwt-learn-003,api-security-jwt,API Security & JWT,Which three classical JWT signing algorithms are currently vulnerable to Shor's algorithm?,"The three classical algorithms vulnerable to Shor's algorithm are RS256 (RSA), ES256 (ECDSA P-256), and EdDSA (Ed25519). All of these rely on mathematical problems that a quantum computer can solve efficiently.",learn,recall,developer;architect;ops,intermediate,Global,General,,,,,ECDSA P-256;Ed25519,,,/algorithms?highlight=ECDSA%20P-256;/algorithms?highlight=Ed25519;/learn/api-security-jwt,algorithm:ECDSA P-256 IN algorithms_csv|algorithm:Ed25519 IN algorithms_csv,RAG Summary: Quantum vulnerability of current JWT algorithms
api-security-jwt-learn-004,api-security-jwt,API Security & JWT,What is the approximate size of a JWT signed with ML-DSA-65 compared to one signed with ES256?,"A JWT signed with ML-DSA-65 is approximately 4.7 KB, whereas an ES256-signed JWT is about 300 bytes. This represents roughly a 16-fold increase in token size.",learn,recall,developer;ops,intermediate,Global,General,,,,,ML-DSA-65,,,/algorithms?highlight=ML-DSA-65;/learn/api-security-jwt,algorithm:ML-DSA-65 IN algorithms_csv,RAG Summary: Token size implications
api-security-jwt-learn-005,api-security-jwt,API Security & JWT,Which NIST standard defines the ML-KEM algorithm used for key agreement in JWE?,The ML-KEM algorithm is defined in FIPS 203. It replaces classical ECDH-ES key agreement mechanisms to provide post-quantum security for encrypted JWT payloads.,learn,recall,developer;architect,intermediate,Global,General,FIPS 203,,,,KEM,,NIST,/library?ref=FIPS%20203;/algorithms?highlight=KEM;/learn/api-security-jwt,library_ref:FIPS 203 EXISTS|algorithm:KEM IN algorithms_csv|compliance_ref:NIST EXISTS,RAG Summary: PQC JWT key agreement with ML-KEM
api-security-jwt-learn-006,api-security-jwt,API Security & JWT,What is the specific RFC number for the Demonstrating Proof of Possession (DPoP) standard?,The RFC number for the Demonstrating Proof of Possession (DPoP) standard is RFC 9449. This standard is relevant when considering PQC migration for OAuth 2.0 access tokens.,learn,recall,developer;architect,intermediate,Global,General,RFC 9449,,,,,,,/library?ref=RFC%209449;/learn/api-security-jwt,library_ref:RFC 9449 EXISTS,RAG Summary: Related Standards
api-security-jwt-learn-007,api-security-jwt,API Security & JWT,Why are HMAC-based algorithms like HS256 considered quantum-safe despite the vulnerability of other JWT algorithms?,"HMAC-based algorithms like HS256 remain quantum-safe because they rely on shared secrets rather than mathematical problems solvable by Shor's algorithm. However, their security depends entirely on the safe distribution and storage of these shared secrets.",learn,comprehension,architect;developer,intermediate,Global,General,,,,,,,,/learn/api-security-jwt,,RAG Summary: Quantum vulnerability of current JWT algorithms
api-security-jwt-learn-008,api-security-jwt,API Security & JWT,How does the 'Harvest-now-decrypt-later' (HNDL) attack specifically threaten long-lived JWTs?,"The HNDL attack allows adversaries to capture and store signed JWTs today, intending to forge signatures or decrypt them once quantum computers become available. This is particularly dangerous for long-lived tokens like refresh tokens or ID tokens with extended expiration dates.",learn,comprehension,architect;ops;executive,intermediate,Global,General,,,,,,,,/learn/api-security-jwt,,RAG Summary: Harvest-now-decrypt-later (HNDL) for JWTs
api-security-jwt-learn-009,api-security-jwt,API Security & JWT,What is the primary mechanism by which ML-KEM replaces ECDH-ES in JWE encryption?,"ML-KEM replaces ECDH-ES by using Key Encapsulation Mechanism (KEM) encapsulation instead of Diffie-Hellman key exchange. The ML-KEM.Encaps function produces a ciphertext and a shared secret, which is then processed via HKDF to derive the Content Encryption Key.",learn,comprehension,developer;architect,intermediate,Global,General,,,,,KEM,,,/algorithms?highlight=KEM;/learn/api-security-jwt,algorithm:KEM IN algorithms_csv,RAG Summary: PQC JWT key agreement with ML-KEM
api-security-jwt-learn-010,api-security-jwt,API Security & JWT,Why does the JOSE framework require minimal structural changes to support post-quantum algorithms?,"The JOSE framework is designed for algorithm agility, meaning only the 'alg' field in the header needs to change (e.g., from ES256 to ML-DSA-65). The underlying structure of base64url-encoded headers, payloads, and signatures remains consistent.",learn,comprehension,developer;architect,intermediate,Global,General,,,,,ML-DSA-65,,,/algorithms?highlight=ML-DSA-65;/learn/api-security-jwt,algorithm:ML-DSA-65 IN algorithms_csv,RAG Summary: JOSE header changes
api-security-jwt-learn-011,api-security-jwt,API Security & JWT,"What are the specific signature sizes for ML-DSA-44, ML-DSA-65, and ML-DSA-87?","The signature sizes are 2,420 bytes for ML-DSA-44 (Level 2), 3,309 bytes for ML-DSA-65 (Level 3), and 4,627 bytes for ML-DSA-87 (Level 5). ML-DSA-65 is recommended for general use.",learn,comprehension,developer;architect,intermediate,Global,General,,,,,ML-DSA-44;ML-DSA-65;ML-DSA-87,,,/algorithms?highlight=ML-DSA-44;/algorithms?highlight=ML-DSA-65;/algorithms?highlight=ML-DSA-87;/learn/api-security-jwt,algorithm:ML-DSA-44 IN algorithms_csv|algorithm:ML-DSA-65 IN algorithms_csv|algorithm:ML-DSA-87 IN algorithms_csv,RAG Summary: PQC JWT signing with ML-DSA
api-security-jwt-workshop-012,api-security-jwt,API Security & JWT,How does the nested hybrid JWT approach ensure backwards compatibility for classical verifiers?,"In the nested approach, a classical ES256-signed JWT is placed as the payload of an outer ML-DSA-65-signed JWT. Classical-only verifiers can extract and validate just the inner JWT without needing to understand the outer PQC signature.",workshop,comprehension,developer;architect,intermediate,Global,General,,,,,ML-DSA-65,,,/algorithms?highlight=ML-DSA-65;/learn/api-security-jwt,algorithm:ML-DSA-65 IN algorithms_csv,HybridJWT.tsx: Key insight
api-security-jwt-both-013,api-security-jwt,API Security & JWT,"If an API gateway has a strict 4 KB cookie limit, what is the likely outcome of using ML-DSA-65 signed JWTs?",Using ML-DSA-65 signed JWTs will likely exceed the 4 KB cookie limit because these tokens are approximately 4.7 KB in size. This necessitates architectural changes such as moving tokens to HTTP headers or implementing token reference mechanisms.,both,application,developer;ops;architect,intermediate,Global,General,,,,,ML-DSA-65,,,/algorithms?highlight=ML-DSA-65;/learn/api-security-jwt,algorithm:ML-DSA-65 IN algorithms_csv,RAG Summary: Token size implications
