question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
code-signing-learn-001,code-signing,Code Signing,Which specific NIST FIPS standard defines the ML-DSA algorithm used for post-quantum code signing?,"The ML-DSA algorithm is defined in FIPS 204. This standard establishes the specifications for Module-Lattice-Based Digital Signature Algorithms, which are designed to be quantum-resistant.",learn,recall,developer;architect;researcher,beginner;intermediate,Global,General,FIPS 204,,,,Signature,,NIST,/library?ref=FIPS%20204;/algorithms?highlight=Signature;/learn/code-signing,library_ref:FIPS 204 EXISTS|algorithm:Signature IN algorithms_csv|compliance_ref:NIST EXISTS,Related Standards section
code-signing-learn-002,code-signing,Code Signing,What is the signature size in bytes for the ML-DSA-44 algorithm?,"The ML-DSA-44 algorithm produces a signature size of 2,420 bytes. This is significantly larger than classical algorithms like ECDSA P-256 but provides quantum safety.",learn,recall,developer;ops,intermediate,Global,General,,,,,ECDSA P-256;ML-DSA-44,,,/algorithms?highlight=ECDSA%20P-256;/algorithms?highlight=ML-DSA-44;/learn/code-signing,algorithm:ECDSA P-256 IN algorithms_csv|algorithm:ML-DSA-44 IN algorithms_csv,Key Concepts: Classical vs PQC code signing algorithms
code-signing-learn-003,code-signing,Code Signing,Which supply chain attack in 2021 involved an unsigned CI script that was modified to exfiltrate environment variables?,The Codecov attack in 2021 involved an unsigned CI script that was modified to exfiltrate environment variables. This incident highlighted the risks of relying on unsigned scripts in continuous integration pipelines.,learn,recall,developer;ops;security,intermediate,Global,Software Development,,,,,,,,/learn/code-signing,,Key Concepts: Supply chain attacks
code-signing-learn-004,code-signing,Code Signing,What is the specific OID for the Extended Key Usage (EKU) in an end-entity Code Signing Certificate?,The Extended Key Usage (EKU) OID for an end-entity Code Signing Certificate is 1.3.6.1.5.5.7.3.3. This identifier ensures the certificate is strictly used for code signing purposes.,learn,recall,architect;developer,intermediate,Global,General,,,,,,,,/learn/code-signing,,Key Concepts: Code signing certificate chains
code-signing-learn-005,code-signing,Code Signing,Which RFC standard governs the Internet X.509 PKI Time-Stamp Protocol required for PQC timestamping?,RFC 3161 governs the Internet X.509 PKI Time-Stamp Protocol. Post-quantum code signing requires PQC-capable Timestamp Authorities (TSAs) to comply with this standard.,learn,recall,architect;ops,intermediate,Global,General,,,,,,,,/learn/code-signing,,Related Standards section
code-signing-learn-006,code-signing,Code Signing,What is the maximum validity period specified for an end-entity Code Signing Certificate in the PQC certificate chain architecture?,The end-entity Code Signing Certificate in the PQC architecture has a validity period of 1 year. This short lifespan helps mitigate risks associated with key compromise.,learn,recall,architect;ops,intermediate,Global,General,,,,,,,,/learn/code-signing,,Key Concepts: Code signing certificate chains
code-signing-learn-007,code-signing,Code Signing,How does the quantum threat transform supply chain risk from key theft to key forgery?,"Quantum computers enable adversaries to derive a publisher's private key directly from their public certificate using Shor's algorithm. This capability allows for signature forgery on past and future artifacts, fundamentally changing the risk landscape from stealing keys to mathematically breaking them.",learn,comprehension,executive;architect;researcher,intermediate;advanced,Global,General,,,,,,,,/learn/code-signing,,Key Concepts: Quantum amplifier for supply chains
code-signing-learn-008,code-signing,Code Signing,"Why are PQC signature sizes, which are 38-123x larger than ECDSA, considered acceptable for code signing?",PQC signatures are acceptable because verification occurs only once per installation rather than repeatedly during runtime. The increased storage overhead is a trade-off for the critical security benefit of quantum resistance in software distribution.,learn,comprehension,architect;developer,intermediate,Global,Software Development,,,,,,,,/learn/code-signing,,Key Concepts: Classical vs PQC code signing algorithms
code-signing-learn-009,code-signing,Code Signing,What is the primary advantage of Sigstore's keyless signing approach regarding infrastructure migration?,Sigstore centralizes the Post-Quantum Cryptography migration to its Fulcio and Rekor infrastructure. This allows organizations to adopt PQC without managing their own long-term keys or updating every individual developer's toolchain immediately.,learn,comprehension,architect;ops;developer,intermediate,Global,Software Development,,,,,,,,/learn/code-signing,,Key Concepts: Sigstore keyless signing
code-signing-learn-010,code-signing,Code Signing,Why are firmware keys considered a priority target for PQC migration compared to general software?,"Firmware keys have lifetimes of 10-20 years, meaning devices deployed today will remain in the field when cryptographically relevant quantum computers arrive. This long exposure window makes them a critical priority for immediate post-quantum protection.",learn,comprehension,architect;executive,intermediate;advanced,Global,Hardware;IoT,,,,,,,,/learn/code-signing,,Key Concepts: Secure boot and firmware signing
