question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
research-quantum-impact-learn-001,research-quantum-impact,Researcher Quantum Impact,What is the recommended encryption pattern for protecting genomic data at rest according to the module?,"The recommended pattern is AES-256-GCM for confidentiality combined with ML-KEM-1024 for Key Encapsulation (KEK). This approach ensures quantum resistance because AES-256 is secure against quantum attacks, while ML-KEM replaces vulnerable ECDH algorithms for key exchange.",learn,recall,researcher;architect,beginner,Global,Biotechnology;Healthcare,,,,,KEM;ML-KEM-1024,,,/algorithms?highlight=KEM;/algorithms?highlight=ML-KEM-1024;/learn/research-quantum-impact,algorithm:KEM IN algorithms_csv|algorithm:ML-KEM-1024 IN algorithms_csv,Key Concepts: Genomic Data Protection
research-quantum-impact-learn-002,research-quantum-impact,Researcher Quantum Impact,Which specific NIST algorithms are recommended for long-lived document signing in academic publishing?,The module recommends ML-DSA-87 or SLH-DSA-SHAKE-256s for signing documents that require long-term authenticity verification. These algorithms are selected to ensure signatures remain valid and secure against quantum attacks over periods of 30 to 50 years.,learn,recall,researcher;developer,beginner,Global,Academia;Publishing,,,,,ML-DSA-87;SLH-DSA-SHAKE-256s,,NIST,/algorithms?highlight=ML-DSA-87;/algorithms?highlight=SLH-DSA-SHAKE-256s;/learn/research-quantum-impact,algorithm:ML-DSA-87 IN algorithms_csv|algorithm:SLH-DSA-SHAKE-256s IN algorithms_csv|compliance_ref:NIST EXISTS,Key Concepts: Academic Publishing and Preprint Integrity
research-quantum-impact-learn-003,research-quantum-impact,Researcher Quantum Impact,What mathematical problems underpin the security of ML-KEM and ML-DSA algorithms?,"ML-KEM and ML-DSA rely on the hardness of the Learning With Errors (LWE) problem, specifically its variants Module-LWE (MLWE) and Ring-LWE (RLWE). Additionally, the Short Integer Solution (SIS) problem underpins the security of ML-DSA signatures.",learn,recall,researcher;developer,beginner,Global,General,,,,,KEM,,,/algorithms?highlight=KEM;/learn/research-quantum-impact,algorithm:KEM IN algorithms_csv,Key Concepts: Lattice-Based Cryptography Research
research-quantum-impact-learn-004,research-quantum-impact,Researcher Quantum Impact,"Why is genomic data considered an HNDL (Harvest Now, Decrypt Later) target even if encrypted with AES-256?","Genomic data is an HNDL target because it has a confidentiality lifetime extending to the subject's life plus statutory retention periods, often exceeding 75 years. If the key encapsulation uses RSA-2048 or ECDH, a future Cryptographically Relevant Quantum Computer (CRQC) arriving in 2030–2035 could retroactively decrypt the data.",learn,comprehension,researcher;architect,intermediate,Global,Biotechnology;Healthcare,,,,,RSA-2048,,,/algorithms?highlight=RSA-2048;/learn/research-quantum-impact,algorithm:RSA-2048 IN algorithms_csv,Key Concepts: Long-Lived Research Data Exposure (HNDL); Genomic Data Protection
research-quantum-impact-learn-005,research-quantum-impact,Researcher Quantum Impact,How does the confidentiality lifetime of clinical trial data influence its classification as an HNDL risk?,"Clinical trial data under FDA 21 CFR Part 11 must be preserved for at least 15 years post-study, creating a long exposure window. Any data encrypted today with classical algorithms like RSA-2048 or ECDH and stored for this duration is vulnerable to future quantum decryption, necessitating immediate classification as an HNDL risk.",learn,comprehension,researcher;ops,intermediate,USA,Pharmaceuticals;Healthcare,,,,,RSA-2048,,,/algorithms?highlight=RSA-2048;/learn/research-quantum-impact,algorithm:RSA-2048 IN algorithms_csv,Key Concepts: Long-Lived Research Data Exposure (HNDL)
research-quantum-impact-learn-006,research-quantum-impact,Researcher Quantum Impact,What is the relationship between current lattice cryptanalysis research and the parameter selection of NIST finalists?,"Parameter selection in NIST finalists, such as ML-KEM-768 providing NIST Level 3 security, reflects conservative estimates of the cost of BKZ attacks at quantum security levels. Current best lattice attacks show no polynomial-time quantum speedup, but parameters are chosen to ensure robustness against these known algebraic geometry and number theory techniques.",learn,comprehension,researcher;architect,intermediate,Global,General,,,,,ML-KEM-768,,NIST,/algorithms?highlight=ML-KEM-768;/learn/research-quantum-impact,algorithm:ML-KEM-768 IN algorithms_csv|compliance_ref:NIST EXISTS,Key Concepts: Lattice-Based Cryptography Research
research-quantum-impact-workshop-007,research-quantum-impact,Researcher Quantum Impact,"In a scenario where a research institution stores 500TB of genomic data encrypted with RSA-2048 for 50 years, what is the HNDL exposure window if a CRQC arrives in 2035?","The HNDL exposure window spans from the current date until the CRQC arrival in 2035, during which the data remains vulnerable to future decryption. Since the data must remain confidential for 50 years, it has a high migration priority because any classical encryption used today will be compromised once the quantum computer becomes available.",workshop,application,researcher;architect,intermediate,Global,Biotechnology;Healthcare,,,,,RSA-2048,,,/algorithms?highlight=RSA-2048;/learn/research-quantum-impact,algorithm:RSA-2048 IN algorithms_csv,Module Content: Scenario: Genomic Data HNDL Risk
research-quantum-impact-workshop-008,research-quantum-impact,Researcher Quantum Impact,How should a researcher design a federated learning system for cross-institution cancer research to ensure quantum-safe data exchange?,"The researcher must replace the current TLS 1.3 with ECDH key exchange with a PQC-enabled protocol, ensuring all five participating universities upgrade their IT policies and endpoints. Secure data exchange requires both ends of the link (e.g., Globus or SSH) to support PQC algorithms before the connection is considered secure against quantum threats.",workshop,application,researcher;developer;ops,intermediate,Global,Healthcare;Academia,,,,,,,,/learn/research-quantum-impact,,Module Content: Scenario: Multi-Institution Federated Learning; Key Concepts: HPC and Cloud Research Infrastructure
research-quantum-impact-workshop-009,research-quantum-impact,Researcher Quantum Impact,"When drafting a security section for an NSF proposal requiring 'quantum-resilient' data security, which deployment model and algorithms should be specified?",The proposal should specify a hybrid or pure PQC deployment model using NIST-standardized algorithms like ML-KEM for key encapsulation and ML-DSA for signing. The security section must detail how the team will validate these implementations against current cryptanalysis standards to meet the 'quantum-resilient' requirement.,workshop,application,researcher;architect,intermediate,USA,Academia;Government,,,,,KEM,,NIST,/algorithms?highlight=KEM;/learn/research-quantum-impact,algorithm:KEM IN algorithms_csv|compliance_ref:NIST EXISTS,Module Content: Scenario: PQC Research Proposal
research-quantum-impact-both-010,research-quantum-impact,Researcher Quantum Impact,How does the re-identification risk of genomic data impact the choice of key encapsulation algorithms compared to standard research data?,"Because genomic data is effectively permanent PII due to high re-identification risks, its confidentiality lifetime extends indefinitely, making it a critical HNDL target. This necessitates using ML-KEM for key encapsulation rather than ECDH, as the latter is vulnerable to future quantum attacks that could expose sensitive patient privacy and research embargoes.",both,synthesis,researcher;architect,advanced,Global,Biotechnology;Healthcare,,,,,KEM,,,/algorithms?highlight=KEM;/learn/research-quantum-impact,algorithm:KEM IN algorithms_csv,Key Concepts: Genomic Data Protection; Long-Lived Research Data Exposure (HNDL)
