question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
exec-quantum-impact-learn-001,exec-quantum-impact,Executive Quantum Impact,"What is the definition of 'Harvest Now, Decrypt Later' (HNDL) as described in the Executive Quantum Impact module?","Harvest Now, Decrypt Later (HNDL) refers to adversaries recording encrypted traffic today with the intent to decrypt it once a cryptographically relevant quantum computer (CRQC) becomes available. This threat specifically endangers data with long confidentiality requirements, such as health records and intellectual property, regardless of when the CRQC arrives.",learn,recall,executive;curious,beginner,Global,General,,,,,,,,/learn/exec-quantum-impact,,"Key Concepts: Harvest Now, Decrypt Later (HNDL)"
exec-quantum-impact-learn-002,exec-quantum-impact,Executive Quantum Impact,"According to the module, what are the specific CNSA 2.0 deadlines for software/firmware signing and operating systems?","The NSA mandates that software/firmware signing and networking equipment must be compliant by a preferred date of 2025–2026 and exclusively by 2030. For operating systems, web browsers, cloud services, and servers, the exclusive compliance deadline is set for 2033.",learn,recall,executive;architect,beginner,USA,Government;Defense,,,,,,,NSA,/learn/exec-quantum-impact,compliance_ref:NSA EXISTS,Key Concepts: CNSA 2.0 Deadlines
exec-quantum-impact-learn-003,exec-quantum-impact,Executive Quantum Impact,What is the enforcement date for the DORA regulation mentioned in the module?,"The Digital Operational Resilience Act (DORA) has an enforcement date of January 2025. This regulation requires the financial sector to ensure digital resilience, which includes implementing crypto agility.",learn,recall,executive;ops,beginner,EU,Financial Services,,,,,,,DORA,/learn/exec-quantum-impact,compliance_ref:DORA EXISTS,Key Concepts: EU Regulatory Mandates
exec-quantum-impact-learn-004,exec-quantum-impact,Executive Quantum Impact,How does Mosca's Theorem help executives prioritize which systems to migrate first?,Mosca's Theorem states that an organization is at risk if the shelf life of its data plus the time required to migrate exceeds the time until a cryptographically relevant quantum computer (CRQC) arrives. Executives use this formula to prioritize migration efforts based on the longevity of the data and the complexity of remediation.,learn,comprehension,executive;architect,intermediate,Global,General,,,,,,,,/learn/exec-quantum-impact,,Key Concepts: Mosca's Theorem
exec-quantum-impact-learn-005,exec-quantum-impact,Executive Quantum Impact,Why is the timeline for EUDI wallet deployment distinct from the PQC readiness timeline under eIDAS 2.0?,"While eIDAS 2.0 mandates that EUDI wallets be available by December 2026, their Post-Quantum Cryptography (PQC) readiness follows the separate EU PQC roadmap. This means wallet deployment and PQC capability are on different schedules, with high-risk systems requiring PQC by 2030 and full transition by 2035.",learn,comprehension,executive;developer,intermediate,EU,Financial Services;Government,,,,,,,,/learn/exec-quantum-impact,,Key Concepts: EU Regulatory Mandates
exec-quantum-impact-learn-006,exec-quantum-impact,Executive Quantum Impact,How does the concept of 'Crypto Agility' change the business case for cryptographic migration?,"Crypto agility is the ability to swap cryptographic algorithms without requiring a full application re-architecture. This capability reduces future migration costs from multi-year projects to mere weeks, making the investment in crypto agility strongest when amortized over multiple anticipated algorithm transitions.",learn,comprehension,executive;architect;developer,intermediate,Global,General,,,,,,,,/learn/exec-quantum-impact,,Key Concepts: Crypto Agility Business Case
exec-quantum-impact-workshop-007,exec-quantum-impact,Executive Quantum Impact,"In a scenario where a financial institution has 30-year data retention requirements, how should they apply Mosca's Theorem to assess HNDL risk?","The institution must calculate if the 30-year shelf life of their data plus the estimated time to migrate exceeds the predicted arrival of a CRQC. If this sum is greater than the time to CRQC, the organization is currently at risk from Harvest Now, Decrypt Later attacks and must prioritize immediate migration.",workshop,application,executive;architect,intermediate,Global,Financial Services,,,,,,,,/learn/exec-quantum-impact,,Workshop Steps: Scenario: Board Quantum Risk Briefing; Key Concepts: Mosca's Theorem
exec-quantum-impact-workshop-008,exec-quantum-impact,Executive Quantum Impact,"If an organization identifies a top vendor with no PQC roadmap, what specific action should be taken according to the module?",The organization must treat this vendor as a blocking dependency that limits its own migration timeline. Executives should include PQC criteria in third-party risk assessments and demand a roadmap from the vendor to prevent supply chain exposure.,workshop,application,executive;ops,intermediate,Global,General,,,,,,,,/learn/exec-quantum-impact,,Workshop Steps: Scenario: Vendor PQC Readiness Review; Key Concepts: Vendor & Supply Chain Exposure
exec-quantum-impact-workshop-009,exec-quantum-impact,Executive Quantum Impact,"How should an executive prioritize budget allocation when facing simultaneous compliance deadlines for CNSA 2.0 (2030), DORA (2025), and NIS2 (2024)?","The executive should use the action plan builder to identify which deadlines require immediate action versus those allowing phased migration. Given the proximity of the dates, immediate resources must be directed toward NIS2 (2024) and DORA (2025) compliance, while planning a longer-term strategy for CNSA 2.0.",workshop,application,executive;architect,intermediate,EU;USA,Financial Services;Government,,,,,,,DORA;NIS2,/learn/exec-quantum-impact,compliance_ref:DORA EXISTS|compliance_ref:NIS2 EXISTS,Workshop Steps: Scenario: Compliance Deadline Collision
exec-quantum-impact-both-010,exec-quantum-impact,Executive Quantum Impact,Synthesize the relationship between SEC Cyber Disclosure Rules and the concept of HNDL to explain board liability.,"SEC rules effective December 2023 require material cybersecurity risk disclosure within four days of discovery. Since HNDL attacks target long-lived data that may be compromised years later, quantum risk qualifies as a material risk requiring proactive disclosure; failure to disclose this known risk exposes CISOs and board members to personal liability.",both,synthesis,executive,advanced,USA,General,,,,,,,,/learn/exec-quantum-impact,,"Key Concepts: Board Liability (SEC Cyber Disclosure Rules); Key Concepts: Harvest Now, Decrypt Later (HNDL)"
