question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
merkle-tree-certs-learn-001,merkle-tree-certs,Merkle Tree Certificates,What is the specific byte size of an ML-DSA-44 signature compared to an ECDSA P-256 signature?,"An ML-DSA-44 signature is 2,420 bytes, while an ECDSA P-256 signature is only 64 bytes. This represents a 37x increase in size for the post-quantum algorithm. The significant growth in signature size is the primary driver for certificate bloat in post-quantum TLS environments.",learn,recall,developer;architect;researcher,beginner;intermediate,Global,General,,,,,ECDSA P-256;ML-DSA-44,,,/algorithms?highlight=ECDSA%20P-256;/algorithms?highlight=ML-DSA-44;/learn/merkle-tree-certs,algorithm:ECDSA P-256 IN algorithms_csv|algorithm:ML-DSA-44 IN algorithms_csv,RAG Summary: Key Concepts - Certificate bloat problem
merkle-tree-certs-learn-002,merkle-tree-certs,Merkle Tree Certificates,Which IETF working group adopted the Merkle Tree Certificates draft?,"The Merkle Tree Certificates specification was adopted by the IETF PLANTS working group. It originated as draft-davidben-tls-merkle-tree-certs (draft-10) in January 2026. The authors of this standardization effort include representatives from Google, Cloudflare, and Geomys.",learn,recall,architect;researcher,intermediate;advanced,Global,General,,,,,,,IETF,/learn/merkle-tree-certs,compliance_ref:IETF EXISTS,RAG Summary: Key Concepts - IETF standardization
merkle-tree-certs-learn-003,merkle-tree-certs,Merkle Tree Certificates,What hash function and domain-separation prefixes are used to construct the Merkle tree in MTCs?,"Merkle Tree Certificates use SHA-256 for hashing certificate assertions into a binary tree. The construction employs specific domain-separation prefixes: 0x00 is used for leaf nodes, and 0x01 is used for internal nodes. This ensures distinct hash outputs for different node types within the tree structure.",learn,recall,developer;architect,intermediate;advanced,Global,General,,,,,,,,/learn/merkle-tree-certs,,RAG Summary: Key Concepts - Merkle tree batch signing
merkle-tree-certs-learn-004,merkle-tree-certs,Merkle Tree Certificates,What is the approximate size of an inclusion proof for a batch of approximately 4.4 million certificates?,"An inclusion proof for a batch of roughly 4.4 million certificates is 736 bytes in size. This compact proof consists of 23 sibling hashes, each being 32 bytes long. The small size allows efficient transmission even over constrained networks.",learn,recall,developer;ops,intermediate,Global,General,,,,,,,,/learn/merkle-tree-certs,,RAG Summary: Key Concepts - Inclusion proofs
merkle-tree-certs-learn-005,merkle-tree-certs,Merkle Tree Certificates,"Which NIST standard defines SLH-DSA, and how does it relate to Merkle trees?","SLH-DSA is defined in FIPS 205. It utilizes a hyper-tree structure composed of XMSS trees internally, with FORS one-time signing at the leaves. This demonstrates that hash-based signatures like SLH-DSA rely on the same Merkle tree principles applied at the infrastructure level by MTCs.",learn,recall,researcher;architect,advanced,Global,General,FIPS 205,,,,,,NIST,/library?ref=FIPS%20205;/learn/merkle-tree-certs,library_ref:FIPS 205 EXISTS|compliance_ref:NIST EXISTS,RAG Summary: Key Concepts - Connection to hash-based signatures
merkle-tree-certs-learn-006,merkle-tree-certs,Merkle Tree Certificates,How does the Merkle Tree Certificate architecture solve the certificate bloat problem caused by PQC signatures?,"MTCs replace individual per-certificate signatures with a batch-signing approach where only the root hash of a Merkle tree is signed by the CA. This reduces the overhead significantly, achieving 27–64% size reduction depending on the algorithm used. For ML-DSA chains specifically, this results in a 62–64% reduction compared to traditional chains.",learn,comprehension,architect;developer,intermediate;advanced,Global,General,,,,,,,,/learn/merkle-tree-certs,,RAG Summary: Module Description; Key Concepts
merkle-tree-certs-learn-007,merkle-tree-certs,Merkle Tree Certificates,Why are traditional PQC TLS certificate chains problematic for constrained clients?,"Traditional PQC TLS certificate chains add 18-36 KB of overhead due to the large size of post-quantum signatures. This excessive data volume breaks constrained clients that have strict limits, such as a 10 KB maximum payload size. Additionally, this bloat degrades connection setup times for all users.",learn,comprehension,ops;developer,intermediate,Global,General,,,,,,,,/learn/merkle-tree-certs,,RAG Summary: Key Concepts - Certificate bloat problem
merkle-tree-certs-learn-008,merkle-tree-certs,Merkle Tree Certificates,What is the role of the Transparency Service in the MTC architecture?,"The Transparency Service serves a per-certificate log and handles signing on a per-batch basis. A single cosigner signature from this service can cover a subtree containing millions of entries, rather than signing each certificate individually. This batch approach is essential for maintaining scalability in the system.",learn,comprehension,architect;ops,advanced,Global,General,,,,,,,,/learn/merkle-tree-certs,,RAG Summary: Key Concepts - MTC architecture
merkle-tree-certs-learn-009,merkle-tree-certs,Merkle Tree Certificates,How does the verification process for an MTC inclusion proof work?,The relying party verifies a certificate by hashing it and then combining that hash with each sibling hash provided in the inclusion proof. This recomputation continues up the tree until a root hash is generated. The computed root is then checked against the signed root to confirm validity.,learn,comprehension,developer;researcher,intermediate;advanced,Global,General,,,,,,,,/learn/merkle-tree-certs,,RAG Summary: Key Concepts - Verification via hash recomputation
merkle-tree-certs-learn-010,merkle-tree-certs,Merkle Tree Certificates,What is the primary trade-off regarding client synchronization in MTCs?,"Clients using MTCs must periodically sync signed subtrees, meaning they are not suitable for fully offline verification. This requirement ensures that clients have the necessary root hashes to validate inclusion proofs against current data. Trust in the system also relies on a cosigner quorum mechanism.",learn,comprehension,architect;ops,advanced,Global,General,,,,,,,,/learn/merkle-tree-certs,,RAG Summary: Key Concepts - Tradeoffs
merkle-tree-certs-workshop-011,merkle-tree-certs,Merkle Tree Certificates,"If a TLS server needs to present a certificate assertion, what additional data must it provide for MTC verification?","The TLS server must present the certificate assertion along with its inclusion proof. This proof is a compact chain of sibling hashes that allows the client to reconstruct the path from the leaf to the root. Without this proof, the client cannot verify the certificate against the signed Merkle root.",workshop,application,developer;ops,intermediate;advanced,Global,General,,,,,,,,/learn/merkle-tree-certs,,RAG Summary: Key Concepts - MTC architecture
merkle-tree-certs-workshop-012,merkle-tree-certs,Merkle Tree Certificates,How would you calculate the proof size if the batch size of certificates doubles?,"If the batch size doubles, the proof size increases by exactly 32 bytes. This is because the proof consists of sibling hashes, and doubling the tree size adds one more level to the authentication path. Each additional hash in the path is 32 bytes long.",workshop,application,developer;architect,intermediate;advanced,Global,General,,,,,,,,/learn/merkle-tree-certs,,SizeComparison.tsx: Key insight
