question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
pqc-business-case-learn-001,pqc-business-case,PQC Business Case,What are the four specific cost categories defined for PQC migration in the business case module?,"The four dimensions of PQC migration costs are migration costs (infrastructure layer upgrades), breach avoidance (quantum-enabled attack prevention), compliance penalties (regulatory fine avoidance), and operational/competitive advantages. These categories form the basis for calculating the total cost of ownership and return on investment.",learn,recall,executive;architect,beginner,Global,General,,,,,,,,/learn/pqc-business-case,,Key Concepts: PQC Migration Cost Categories
pqc-business-case-workshop-002,pqc-business-case,PQC Business Case,Which three interactive workshop steps are available for building a PQC business case?,"The module provides three interactive steps: the ROI Calculator, the Breach Scenario Simulator, and the Board Pitch Builder. These tools allow users to calculate weighted scores, compare breach costs, and generate executive presentations respectively.",workshop,recall,executive;developer,beginner,Global,General,,,,,,,,/learn/pqc-business-case,,Workshop / Interactive Activities
pqc-business-case-learn-003,pqc-business-case,PQC Business Case,What external standards and methodologies are referenced in the PQC Business Case module?,"The module references NIST IR 8547 for transition standards, the Ponemon Institute Cost of a Data Breach methodology, and FAIR (Factor Analysis of Information Risk). These frameworks support the financial modeling and risk assessment components of the business case.",learn,recall,researcher;architect,beginner,Global,General,NIST IR 8547,,,,,,NIST,/library?ref=NIST%20IR%208547;/learn/pqc-business-case,library_ref:NIST IR 8547 EXISTS|compliance_ref:NIST EXISTS,Related Standards
pqc-business-case-learn-004,pqc-business-case,PQC Business Case,How does the ROI Calculation scorecard weight the dimension of breach avoidance savings?,"In the weighted ROI scorecard, breach avoidance savings are assigned a weight of 30%, making it the most heavily weighted single dimension. This reflects the significant financial impact of preventing quantum-enabled attacks compared to other factors like migration costs or operational efficiency.",learn,comprehension,executive;architect,beginner,Global,General,,,,,,,,/learn/pqc-business-case,,Key Concepts: ROI Calculation
pqc-business-case-learn-005,pqc-business-case,PQC Business Case,What is the relationship between HNDL exposure years and breach cost modeling in this module?,"HNDL (Harvest Now, Decrypt Later) exposure years are a multiplier in the breach cost model that accounts for data harvested today but decrypted later by quantum computers. This factor increases the projected cost of inaction by extending the window of vulnerability for sensitive data records.",learn,comprehension,architect;ops,beginner,Global,General,,,,,,,,/learn/pqc-business-case,,Key Concepts: Breach Cost Modeling
pqc-business-case-workshop-006,pqc-business-case,PQC Business Case,Why is the 'Board Pitch Builder' designed to include specific metadata like industry and confidentiality classification?,"The Board Pitch Builder includes metadata such as date, industry, country, and confidentiality classification to ensure the generated executive memo is contextually relevant and secure for board-level review. This customization allows the artifact to address specific regulatory environments and organizational sensitivities.",workshop,comprehension,executive,beginner,Global,General,,,,,,,,/learn/pqc-business-case,,Workshop / Interactive Activities: Board Pitch Builder
pqc-business-case-workshop-007,pqc-business-case,PQC Business Case,"If a CFO questions the urgency of PQC investment due to distant quantum timelines, how should the ROI Calculator be used to respond?","The ROI Calculator should be used to model the total cost of inaction versus proactive migration, specifically highlighting the HNDL risk where data is harvested today for future decryption. This demonstrates that the financial threat exists immediately, regardless of when quantum computers become fully operational.",workshop,application,executive;architect,beginner,Global,General,,,,,,,,/learn/pqc-business-case,,Business Case Exercises: Cost Justification for CFO
pqc-business-case-workshop-008,pqc-business-case,PQC Business Case,How would you use the Breach Scenario Simulator to justify PQC adoption in a regulated industry facing mandatory deadlines?,"You would use the simulator to model quantum-amplified breach costs, including specific regulatory fines associated with non-compliance, and compare these against the required migration investment. This comparison quantifies the cost of non-compliance versus the benefits of early adoption.",workshop,application,executive;ops,beginner,Global,Finance;Healthcare,,,,,,,,/learn/pqc-business-case,,Business Case Exercises: Regulatory Deadline Pressure
pqc-business-case-workshop-009,pqc-business-case,PQC Business Case,What steps must be taken to prepare a complete executive brief for a 10-minute board meeting on PQC funding?,"To prepare the brief, one must complete all three workshop steps (ROI Calculator, Breach Scenario Simulator, and Board Pitch Builder) to gather risk, cost-benefit, and timeline data. The final step is using the Board Pitch Builder to generate a polished memo covering recommended actions that can be exported for presentation.",workshop,application,executive,beginner,Global,General,,,,,,,,/learn/pqc-business-case,,Business Case Exercises: Board Presentation Package
pqc-business-case-both-010,pqc-business-case,PQC Business Case,How does the module integrate live data from the migration catalog and assessment engine into the business case tools?,"The workshop tools, including the ROI Calculator and Breach Scenario Simulator, integrate live data from the app's migration catalog, compliance frameworks, and assessment engine to auto-score dimensions. This ensures that the financial models and breach simulations are based on the organization's actual infrastructure and risk profile rather than static assumptions.",both,synthesis,architect;developer,intermediate,Global,General,,,,,,,,/learn/pqc-business-case,,Overview
