Country,FlagCode,OrgName,OrgFullName,OrgLogoUrl,Type,Category,StartYear,EndYear,Title,Description,SourceUrl,SourceDate,Status,trusted_source_id,local_file,peer_reviewed,vetting_body
European Union,EU,EU Horizon,European Union Horizon Europe Program,,Phase,Research,2026,2028,QARC Project Execution,Brno University of Technology coordinates EU Horizon QARC (Quantum-Resistant Cryptography in Practice) project focusing on hybrid schemes cryptographic agility and real-world PQC deployment pilots across EU eGovernment and cloud infrastructures.,https://cordis.europa.eu/project/id/101225691,2026-01-01,Validated,,public/timeline/European_Union_EU_Horizon_QARC_Project_Execution.html,partial,EU Horizon
Global,INT,IBM,International Business Machines Corporation,,Milestone,POC,2025,2025,Quantum Safe Explorer Launched,IBM launches Quantum Safe Explorer tool to help organizations scan source and object code to identify cryptographic assets dependencies and vulnerabilities creating a CBOM.,https://www.ibm.com/new/product-blog/empowering-cios-to-accelerate-crypto-agility-with-ibm-quantum-safe-explorer,2025-01-01,Validated,,public/timeline/Global_IBM_Quantum_Safe_Explorer_Launched.html,no,IBM
Global,INT,IBM,International Business Machines Corporation,,Milestone,POC,2025,2025,IBM Heron R2 Processor Available,IBM makes Heron R2 processor available with 156 qubits designed to enable more complex quantum circuits with low error rates facilitating quantum utility at scale.,https://www.ibm.com/quantum/blog/qdc-2024,2025-01-01,Validated,,public/timeline/Global_IBM_IBM_Heron_R2_Processor_Available.html,no,IBM
Global,INT,IBM,International Business Machines Corporation,,Milestone,Research,2025,2025,IBM Next-Gen Processor Development,IBM advances development of its next-generation modular quantum processor incorporating features for high-efficiency quantum error correction targeting early 2026 testing milestones.,https://www.ibm.com/quantum/blog/qdc-2024,2025-12-01,Validated,,public/timeline/Global_IBM_IBM_Heron_R2_Processor_Available.html,partial,IBM
Global,INT,IBM,International Business Machines Corporation,,Milestone,POC,2026,2026,IBM Kookaburra Processor Released,IBM releases Kookaburra first modular 1386-qubit processor designed to store and process encoded information combining quantum memory with logic operations.,https://www.ibm.com/quantum/blog/qdc-2024,2026-01-01,Validated,,public/timeline/Global_IBM_IBM_Heron_R2_Processor_Available.html,no,IBM
Global,INT,IBM,International Business Machines Corporation,,Milestone,Research,2026,2026,IBM Quantum Advantage Target,IBM targets achieving and verifying quantum advantage demonstrating verifiable speed-ups over classical computing for meaningful tasks.,https://www.ibm.com/quantum/blog/qdc-2024,2026-12-01,Validated,,public/timeline/Global_IBM_IBM_Heron_R2_Processor_Available.html,partial,IBM
Global,INT,Microsoft,Microsoft Corporation,,Milestone,Policy,2023,2023,Quantum Safe Program Launch,Microsoft formally launches Quantum Safe Program (QSP) to build quantum-safe future across all products and services. Source URL references August 2025 roadmap post which details the QSP program history.,https://www.microsoft.com/en-us/security/blog/2025/08/20/quantum-safe-security-progress-towards-next-generation-cryptography/,2023-01-01,Validated,,public/timeline/Global_Microsoft_Quantum_Safe_Program_Launch.html,yes,Microsoft
Global,INT,Microsoft,Microsoft Corporation,,Milestone,Research,2025,2025,Majorana 1 Quantum Chip,Microsoft announces development of Majorana 1 quantum chip.,https://azure.microsoft.com/en-us/blog/quantum/2025/02/19/microsoft-unveils-majorana-1-the-worlds-first-quantum-processor-powered-by-topological-qubits/,2025-02-01,Validated,,public/timeline/Global_Microsoft_Majorana_1_Quantum_Chip.html,partial,Microsoft
Global,INT,Microsoft,Microsoft Corporation,,Milestone,Policy,2025,2025,Microsoft QSP Roadmap Published,Microsoft publishes comprehensive roadmap detailing progress toward next-generation cryptography and 2033 completion target.,https://www.microsoft.com/en-us/security/blog/2025/08/20/quantum-safe-security-progress-towards-next-generation-cryptography/,2025-08-20,Validated,,public/timeline/Global_Microsoft_Quantum_Safe_Program_Launch.html,yes,Microsoft
Global,INT,Microsoft,Microsoft Corporation,,Phase,Migration,2026,2027,Core Infrastructure Transition,Microsoft accelerates QSP transition for core infrastructure including signing services and network services starting in 2026 with Windows Azure M365 integration beginning 2027.,https://www.microsoft.com/en-us/security/blog/2025/08/20/quantum-safe-security-progress-towards-next-generation-cryptography/,2026-01-01,Validated,,public/timeline/Global_Microsoft_Quantum_Safe_Program_Launch.html,no,Microsoft
Global,INT,Microsoft,Microsoft Corporation,,Milestone,Policy,2029,2029,Early Quantum-Safe Adoption,Microsoft begins early adoption of quantum-safe capabilities across products and services with quantum-safe systems gradually becoming default.,https://www.microsoft.com/en-us/security/blog/2025/08/20/quantum-safe-security-progress-towards-next-generation-cryptography/,2025-08-20,Validated,,public/timeline/Global_Microsoft_Quantum_Safe_Program_Launch.html,yes,Microsoft
Global,INT,Microsoft,Microsoft Corporation,,Milestone,Deadline,2033,2033,Microsoft Full PQC Transition,Microsoft completes full transition to quantum-ready cryptographic standards across all products and services. Two years ahead of 2035 government deadlines.,https://www.microsoft.com/en-us/security/blog/2025/08/20/quantum-safe-security-progress-towards-next-generation-cryptography/,2025-08-20,Validated,,public/timeline/Global_Microsoft_Quantum_Safe_Program_Launch.html,no,Microsoft
Global,INT,PQShield,PQShield Ltd,,Milestone,POC,2025,2025,UltraPQ-Suite Launched,PQShield launches UltraPQ-Suite collection of specialized PQC implementations including PQPlatform-TrustSys quantum-safe Root of Trust for ASIC/FPGA CNSA 2.0 compliance.,https://pqshield.com/pqshield-launches-ultrapq-suite-for-deeply-specialized-implementations-of-post-quantum-cryptography/,2025-04-01,Validated,,public/timeline/Global_PQShield_UltraPQ-Suite_Launched.html,no,PQShield
Global,INT,PQShield,PQShield Ltd,,Milestone,Research,2025,2025,100th Research Paper Milestone,PQShield releases 100th research paper achieving 24 top-tier conference papers in 2025 including Distinguished Paper Award at CCS.,https://pqshield.com/pqshield-hits-100-research-papers-pushing-post-quantum-cryptography-from-theory-to-reality/,2025-10-01,Validated,,public/timeline/Global_PQShield_100th_Research_Paper_Milestone.html,partial,PQShield
Global,INT,PQShield,PQShield Ltd,,Milestone,Guidance,2025,2025,Carahsoft Government Partnership,PQShield partners with Carahsoft to make PQC solutions accessible to US government agencies.,https://pqshield.com/pqshield-and-carahsoft-partner-to-make-powerful-post-quantum-cryptography-solutions-available-to-government-agencies/,2025-10-01,Validated,,public/timeline/Global_PQShield_Carahsoft_Government_Partnership.html,yes,PQShield
Global,INT,PQShield,PQShield Ltd,,Milestone,Research,2026,2026,Post-Quantum VPN Research Initiated,PQShield initiates new research into Post-Quantum VPNs and expands formal verification efforts for real-world FHE operations.,https://pqshield.com/pqshield-launches-ultrapq-suite-for-deeply-specialized-implementations-of-post-quantum-cryptography/,2026-01-01,Validated,,public/timeline/Global_PQShield_UltraPQ-Suite_Launched.html,partial,PQShield
United States,US,SandboxAQ,SandboxAQ Inc,,Milestone,POC,2025,2025,AQtive Guard Pentagon 5-Year Agreement,SandboxAQ secures five-year agreement with Department of Defense (DoD) CIO to deploy AQtive Guard cybersecurity platform across Pentagon systems for automated cryptographic discovery inventory and managed PQC transition. Paves way for other DoD agencies.,https://www.sandboxaq.com/press/sandboxaq-and-dod-cio-partner-to-strengthen-us-defenses-against-quantum-and-ai-driven-cyber-threats,2025-12-01,Validated,,public/timeline/United_States_SandboxAQ_AQtive_Guard_Pentagon_5-Year_Agreement.html,no,SandboxAQ
United States,US,SandboxAQ,SandboxAQ Inc,,Milestone,Regulation,2025,2025,AQtive Guard FedRAMP Ready,SandboxAQ achieves FedRAMP Ready status for AQtive Guard platform providing standardized path for federal agencies to evaluate automated cryptographic discovery.,https://www.sandboxaq.com/press/sandboxaq-achieves-fedramp-ready-status-powering-enterprise-readiness-across-the-defense-and-public-sector,2025-12-01,Validated,,public/timeline/United_States_SandboxAQ_AQtive_Guard_FedRAMP_Ready.html,yes,SandboxAQ
United States,US,SandboxAQ/MITRE/LF,SandboxAQ MITRE and Linux Foundation PQCA,,Milestone,Guidance,2025,2025,RWPQC 2025 Conference,SandboxAQ MITRE and Linux Foundation PQCA co-host Real World Post Quantum Cryptography (RWPQC) 2025 conference.,https://www.sandboxaq.com/press/rwpqc-2025-brings-together-industry-leaders-to-advance-cybersecurity-and-quantum-innovation,2025-03-01,Validated,,public/timeline/United_States_SandboxAQ_MITRE_LF_RWPQC_2025_Conference.html,yes,SandboxAQ/MITRE/LF
Global,INT,NXP/PQShield,NXP Semiconductors with PQShield,,Milestone,POC,2025,2025,Quantum-Safe Secure Element Pilot,NXP begins sampling secure-element pilot incorporating PQShield quantum-safe core in Q3 2025.,https://pqshield.com/pqshield-launches-ultrapq-suite-for-deeply-specialized-implementations-of-post-quantum-cryptography/,2025-09-01,Validated,,public/timeline/Global_PQShield_UltraPQ-Suite_Launched.html,no,NXP/PQShield
Australia,AU,ASD,Australian Signals Directorate,,Milestone,Guidance,2022,2022,Initial PQC Planning Guide,ASD publishes initial Planning for Post-Quantum Cryptography guidance.,https://www.cyber.gov.au/business-government/secure-design/planning-for-post-quantum-cryptography,2022-07-01,Validated,,,yes,ASD
Australia,AU,ASD,Australian Signals Directorate,,Milestone,Guidance,2024,2024,ISM December 2024 Update,"ASD updates ISM with specific PQC requirements (ISM-1917) including ML-DSA-87, ML-KEM-1024, SHA-384/512, AES-256 by 2030.",https://www.cyber.gov.au/sites/default/files/2024-12/22.%20ISM%20-%20Guidelines%20for%20Cryptography%20(December%202024).pdf,2024-12-01,Validated,,public/timeline/Australia_ASD_ISM_December_2024_Update.pdf,yes,ASD
Australia,AU,ASD,Australian Signals Directorate,,Phase,Discovery,2024,2026,Migration Planning Phase,"Organizations develop refined PQC transition plan accounting for security goals, risk tolerances, and data value.",https://www.cyber.gov.au/business-government/secure-design/planning-for-post-quantum-cryptography,2025-09-01,Validated,,,no,ASD
