question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
iam-pqc-learn-001,iam-pqc,Identity & Access Management with PQC,Which NIST standard defines the ML-DSA algorithm used for migrating JWT and SAML token signing?,The ML-DSA algorithm is defined in FIPS 204. This standard provides the lattice-based digital signature schemes required to replace vulnerable RSA and ECDSA algorithms in enterprise IAM tokens.,learn,recall,developer;architect,intermediate,Global,General,FIPS 204,,,,,,NIST,/library?ref=FIPS%20204;/learn/iam-pqc,library_ref:FIPS 204 EXISTS|compliance_ref:NIST EXISTS,Algorithms Covered; Key Topics
iam-pqc-learn-002,iam-pqc,Identity & Access Management with PQC,What is the specific ML-DSA variant required by CNSA 2.0 for National Security Systems (NSS)?,CNSA 2.0 mandates the use of ML-DSA-87 for National Security Systems. This requirement must be met by 2027 to ensure quantum resistance at NIST Level 5 security.,learn,recall,architect;executive,intermediate,USA,Government,,,,,ML-DSA-87,,NIST,/algorithms?highlight=ML-DSA-87;/learn/iam-pqc,algorithm:ML-DSA-87 IN algorithms_csv|compliance_ref:NIST EXISTS,Regulatory Context; Algorithms Covered
iam-pqc-learn-003,iam-pqc,Identity & Access Management with PQC,Which algorithm is specified in FIPS 203 for hybrid TLS connections in directory services like LDAPS?,"ML-KEM-768, defined in FIPS 203, is the algorithm used for hybrid TLS. It secures protocols such as LDAPS, MSAL, and Kerberos PKINIT against quantum threats.",learn,recall,developer;ops,intermediate,Global,General,FIPS 203,,,,ML-KEM-768,,,/library?ref=FIPS%20203;/algorithms?highlight=ML-KEM-768;/learn/iam-pqc,library_ref:FIPS 203 EXISTS|algorithm:ML-KEM-768 IN algorithms_csv,Algorithms Covered
iam-pqc-learn-004,iam-pqc,Identity & Access Management with PQC,What is the name of the risk scenario where adversaries harvest encrypted data now to decrypt it later with a quantum computer?,"This threat model is known as Harvest Now, Decrypt Later (HNDL). It poses a significant risk to long-lived secrets such as Kerberos tickets, SAML assertions, and JWT refresh tokens.",learn,recall,architect;security,intermediate,Global,General,,,,,,,,/learn/iam-pqc,,Key Topics; Learn Sections
iam-pqc-learn-005,iam-pqc,Identity & Access Management with PQC,Which IAM vendors are explicitly mentioned in the module's roadmap analysis?,"The module covers migration roadmaps for Okta, Microsoft Entra, PingFederate, ForgeRock, CyberArk, HashiCorp Vault, and Keycloak. These vendors are evaluated on their PQC readiness across various dimensions.",learn,recall,executive;architect,intermediate,Global,General,,,,,,HashiCorp Vault;Keycloak,,/migrate?q=HashiCorp%20Vault;/migrate?q=Keycloak;/learn/iam-pqc,migrate_ref:HashiCorp Vault EXISTS|migrate_ref:Keycloak EXISTS,Key Topics; Module Description
iam-pqc-learn-006,iam-pqc,Identity & Access Management with PQC,"According to NIST IR 8547, when should RSA and ECDSA be deprecated in IAM tokens?",NIST IR 8547 recommends deprecating RSA and ECDSA in IAM tokens after the year 2030. This timeline guides organizations in planning their cryptographic migration strategies.,learn,recall,architect;compliance,intermediate,Global,General,NIST IR 8547,,,,,,NIST,/library?ref=NIST%20IR%208547;/learn/iam-pqc,library_ref:NIST IR 8547 EXISTS|compliance_ref:NIST EXISTS,Regulatory Context
iam-pqc-workshop-007,iam-pqc,Identity & Access Management with PQC,How does the module categorize the quantum risk levels for IAM components?,"The module categorizes quantum risk into four levels: critical, high, medium, and low. These levels are used in the IAM Crypto Inventory to prioritize migration efforts based on exposure.",workshop,comprehension,ops;architect,intermediate,Global,General,,,,,,,,/learn/iam-pqc,,Workshop Steps; IAMCryptoInventory.tsx
iam-pqc-learn-008,iam-pqc,Identity & Access Management with PQC,"Why is ML-DSA-65 specifically recommended for enterprise IAM, SAML, and OIDC ID tokens?","ML-DSA-65 corresponds to NIST Level 3 security, which offers a balanced trade-off between signature size and security strength suitable for general enterprise use. It is preferred over Level 2 for critical identity assertions.",learn,comprehension,developer;architect,intermediate,Global,General,,,,,ML-DSA-65,,NIST,/algorithms?highlight=ML-DSA-65;/learn/iam-pqc,algorithm:ML-DSA-65 IN algorithms_csv|compliance_ref:NIST EXISTS,Algorithms Covered
iam-pqc-learn-009,iam-pqc,Identity & Access Management with PQC,What is the relationship between PCI DSS v4.0.1 and PQC migration planning?,"PCI DSS v4.0.1, specifically Requirement 12.3.3, mandates a cryptographic inventory. This requirement forces organizations to audit their current algorithms, which is the first step in identifying PQC migration needs.",learn,comprehension,compliance;executive,intermediate,Global,Finance,,,,,,,,/learn/iam-pqc,,Regulatory Context
iam-pqc-workshop-010,iam-pqc,Identity & Access Management with PQC,How does the 'Token Migration Lab' workshop step assist developers in understanding PQC overhead?,The Token Migration Lab allows users to compare legacy algorithms like RS256 and ES256 against ML-DSA variants. It specifically highlights differences in signature sizes and necessary header changes for JWTs.,workshop,comprehension,developer;ops,intermediate,Global,General,,,,,,,,/learn/iam-pqc,,Workshop Steps
