ref_id,source_name,category,source_type,pillar,maturity_level,asset_class,requirement,evidence_quote,evidence_location,source_url,confidence,extraction_model,extraction_date
FIPS 203,Module-Lattice-Based Key-Encapsulation Mechanism Standard (ML-KEM),Technical Standards,KEM,governance,2,all,Ensure overall implementation provides an acceptable level of security as determined by the responsible authority in each agency or department.,The responsible authority in each agency or department shall ensure that an overall implementation provides an acceptable level of security.,Section 13,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.203.pdf,high,qwen3.5:27b,2026-04-23
FIPS 203,Module-Lattice-Based Key-Encapsulation Mechanism Standard (ML-KEM),Technical Standards,KEM,governance,2,software,Ensure that any module implementing key establishment capability is designed and built in a secure manner.,It is the responsibility of the implementer to ensure that any module that implements a key establishment capability is designed and built in a secure manner.,Section 13,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.203.pdf,high,qwen3.5:27b,2026-04-23
FIPS 203,Module-Lattice-Based Key-Encapsulation Mechanism Standard (ML-KEM),Technical Standards,KEM,lifecycle,2,keys,"Guard against the disclosure of randomness used by parties, decapsulation keys, and shared secret keys to maintain security guarantees.","Users shall, therefore, guard against the disclosure of these values [randomness used by the two parties, the decapsulation key, and the shared secret key itself].",Section 13,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.203.pdf,high,qwen3.5:27b,2026-04-23
FIPS 203,Module-Lattice-Based Key-Encapsulation Mechanism Standard (ML-KEM),Technical Standards,KEM,assurance,2,software,Employ cryptographic algorithms approved for protecting Federal Government-sensitive information in implementations complying with this standard.,Implementations that comply with this standard shall employ cryptographic algorithms that have been approved for protecting Federal Government-sensitive information.,Section 8,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.203.pdf,high,qwen3.5:27b,2026-04-23
FIPS 203,Module-Lattice-Based Key-Encapsulation Mechanism Standard (ML-KEM),Technical Standards,KEM,assurance,2,software,Ensure exports of cryptographic modules implementing this standard comply with federal laws and are licensed by the Bureau of Industry and Security.,Exports of cryptographic modules that implement this standard and technical data regarding them must comply with all federal laws and regulations and be licensed by the Bureau of Industry and Security of the U.S. Department of Commerce.,Section 9,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.203.pdf,high,qwen3.5:27b,2026-04-23
RFC 9881,Algorithm Identifiers for ML-DSA in X.509 PKI,Technical Standards,PKI Certificate Management,lifecycle,3,certificates,Configure CA implementations to explicitly specify ML-DSA algorithms using the defined OIDs when encoding signatures in certificates and CRLs.,Conforming Certification Authority (CA) implementations MUST specify the algorithms explicitly by using the OIDs specified in Section 2 when encoding ML-DSA signatures in certificates and CRLs.,Section 3,https://www.rfc-editor.org/rfc/rfc9881.html,high,qwen3.5:27b,2026-04-23
RFC 9881,Algorithm Identifiers for ML-DSA in X.509 PKI,Technical Standards,PKI Certificate Management,lifecycle,3,certificates,Ensure client implementations recognize the specific OIDs defined for ML-DSA when processing certificates and CRLs.,Conforming client implementations that process certificates and CRLs using ML-DSA MUST recognize the corresponding OIDs.,Section 3,https://www.rfc-editor.org/rfc/rfc9881.html,high,qwen3.5:27b,2026-04-23
RFC 9881,Algorithm Identifiers for ML-DSA in X.509 PKI,Technical Standards,PKI Certificate Management,lifecycle,3,certificates,"Enforce that the keyUsage extension in certificates containing ML-DSA public keys includes at least one of: digitalSignature, nonRepudiation, keyCertSign, or cRLSign.","If the keyUsage extension is present in a certificate that includes id-ml-dsa-* ... then the subject public key can only be used for verifying digital signatures ... This means that the keyUsage extension MUST have at least one of the following bits set: digitalSignature, nonRepudiation, keyCertSign, cRLSign",Section 5,https://www.rfc-editor.org/rfc/rfc9881.html,high,qwen3.5:27b,2026-04-23
RFC 9881,Algorithm Identifiers for ML-DSA in X.509 PKI,Technical Standards,PKI Certificate Management,lifecycle,3,certificates,"Prohibit the use of keyEncipherment, dataEncipherment, keyAgreement, encipherOnly, or decipherOnly bits in the keyUsage extension for certificates containing ML-DSA public keys.","ML-DSA subject public keys cannot be used to establish keys or encrypt data, so the keyUsage extension MUST NOT have any of the following bits set: keyEncipherment, dataEncipherment, keyAgreement, encipherOnly, decipherOnly",Section 5,https://www.rfc-editor.org/rfc/rfc9881.html,high,qwen3.5:27b,2026-04-23
RFC 9881,Algorithm Identifiers for ML-DSA in X.509 PKI,Technical Standards,PKI Certificate Management,lifecycle,3,keys,Adopt the seed format for encoding ML-DSA private keys to efficiently store both private and public key components.,The seed format is RECOMMENDED as it efficiently stores both the private and public key.,Section 6,https://www.rfc-editor.org/rfc/rfc9881.html,medium,qwen3.5:27b,2026-04-23
