question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
ai-security-pqc-learn-001,ai-security-pqc,AI Security & PQC,What are the primary quantum threats to AI systems identified in the module description?,"The module identifies quantum threats including pipeline data protection vulnerabilities, model weight security risks, synthetic data contamination, agent authentication failures, agentic commerce exploits, and challenges with encryption at scale.",learn,recall,executive;architect;researcher,beginner;intermediate,Global,General,,,,,,,,/learn/ai-security-pqc,,Module Description
ai-security-pqc-learn-002,ai-security-pqc,AI Security & PQC,Which NIST standard is specified for digital signatures used in data provenance and model signing?,"FIPS 204 (ML-DSA) is the standard cited for digital signatures, which are utilized for data provenance, model signing, and agent credentials.",learn,recall,developer;architect,intermediate;advanced,USA,General,FIPS 204,,,,,,NIST,/library?ref=FIPS%20204;/learn/ai-security-pqc,library_ref:FIPS 204 EXISTS|compliance_ref:NIST EXISTS,Key Standards
ai-security-pqc-learn-003,ai-security-pqc,AI Security & PQC,What standard is referenced for key encapsulation in data and model encryption?,FIPS 203 (ML-KEM) is the standard referenced for key encapsulation mechanisms used to secure data and model encryption.,learn,recall,developer;ops,intermediate;advanced,USA,General,FIPS 203,,,,KEM,,,/library?ref=FIPS%20203;/algorithms?highlight=KEM;/learn/ai-security-pqc,library_ref:FIPS 203 EXISTS|algorithm:KEM IN algorithms_csv,Key Standards
ai-security-pqc-learn-004,ai-security-pqc,AI Security & PQC,What is the purpose of the C2PA standard mentioned in the topics?,C2PA (Coalition for Content Provenance and Authenticity) is a content credentials standard used to establish cryptographic data provenance.,learn,recall,researcher;developer,intermediate,Global,Media;General,,,,,,,,/learn/ai-security-pqc,,Topics Covered
ai-security-pqc-learn-005,ai-security-pqc,AI Security & PQC,Which transport security protocol is listed for securing AI API endpoints?,RFC 8446 (TLS 1.3) is the transport security protocol listed for securing AI API endpoints.,learn,recall,developer;ops,intermediate,Global,General,RFC 8446,,,,,,,/library?ref=RFC%208446;/learn/ai-security-pqc,library_ref:RFC 8446 EXISTS,Key Standards
ai-security-pqc-learn-006,ai-security-pqc,AI Security & PQC,What framework is cited for AI risk management?,The NIST AI RMF (AI Risk Management Framework) is the framework cited for managing risks associated with AI systems.,learn,recall,executive;architect,beginner;intermediate,USA,General,,,,,,,NIST,/learn/ai-security-pqc,compliance_ref:NIST EXISTS,Key Standards
ai-security-pqc-workshop-007,ai-security-pqc,AI Security & PQC,How many workshop steps are included in the AI Security & PQC module?,"The module includes exactly seven workshop steps, ranging from Data Protection Analyzer to Scale Encryption Planner.",workshop,recall,curious;developer,beginner,Global,General,,,,,,,,/learn/ai-security-pqc,,Workshop Steps
ai-security-pqc-learn-008,ai-security-pqc,AI Security & PQC,How does synthetic data contamination lead to model collapse?,"Model collapse occurs when AI-generated training data contaminates the dataset, causing a degradation in quality and diversity across generations of models.",learn,comprehension,researcher;architect,intermediate;advanced,Global,AI/ML,,,,,,,,/learn/ai-security-pqc,,Topics Covered
ai-security-pqc-learn-009,ai-security-pqc,AI Security & PQC,Why is cryptographic data provenance essential for AI training pipelines?,"Cryptographic data provenance, utilizing hash chains and watermark detection, ensures the integrity of training data by verifying its origin and preventing forgery or poisoning.",learn,comprehension,developer;researcher,intermediate;advanced,Global,AI/ML,,,,,,,,/learn/ai-security-pqc,,Topics Covered
ai-security-pqc-learn-010,ai-security-pqc,AI Security & PQC,What is the relationship between ML-DSA and model weight protection?,"ML-DSA (FIPS 204) provides digital signatures that are used to sign model weights, ensuring their authenticity and integrity against tampering.",learn,comprehension,developer;architect,intermediate;advanced,USA,AI/ML,FIPS 204,,,,,,,/library?ref=FIPS%20204;/learn/ai-security-pqc,library_ref:FIPS 204 EXISTS,Topics Covered
ai-security-pqc-learn-011,ai-security-pqc,AI Security & PQC,How do delegation tokens function in AI agent authentication?,"Delegation tokens allow AI agents to securely transfer authority and credentials, establishing a chain of trust for machine identity and operations.",learn,comprehension,architect;developer,advanced,Global,General,,,,,,,,/learn/ai-security-pqc,,Topics Covered
ai-security-pqc-learn-012,ai-security-pqc,AI Security & PQC,What role does session KEM play in agent-to-agent communication?,"Session Key Encapsulation Mechanism (KEM) is used to establish secure, ephemeral keys for encrypting messages between autonomous agents during a session.",learn,comprehension,developer;architect,advanced,Global,General,,,,,KEM,,,/algorithms?highlight=KEM;/learn/ai-security-pqc,algorithm:KEM IN algorithms_csv,Topics Covered
ai-security-pqc-learn-013,ai-security-pqc,AI Security & PQC,Why is hierarchical KMS necessary for encryption at petabyte scale?,Hierarchical Key Management Systems (KMS) are required to manage the massive number of keys and operations needed to secure data at the petabyte scale efficiently.,learn,comprehension,ops;architect,advanced,Global,Enterprise,,,,,,,,/learn/ai-security-pqc,,Topics Covered
ai-security-pqc-workshop-014,ai-security-pqc,AI Security & PQC,How does the Data Authenticity Verifier workshop step help visualize model collapse?,The Data Authenticity Verifier allows users to configure verification layers and visualize how synthetic data contamination degrades model quality over generations.,workshop,comprehension,researcher;developer,intermediate;advanced,Global,AI/ML,,,,,,,,/learn/ai-security-pqc,,Workshop Steps
ai-security-pqc-workshop-015,ai-security-pqc,AI Security & PQC,What is the primary function of the Agentic Commerce Simulator?,The Agentic Commerce Simulator allows users to step through agent-to-agent transaction flows with a quantum overlay to identify vulnerable cryptographic operations.,workshop,comprehension,architect;developer,advanced,Global,Finance;General,,,,,,,,/learn/ai-security-pqc,,Workshop Steps
ai-security-pqc-learn-016,ai-security-pqc,AI Security & PQC,"In a scenario where an AI model is trained on unverified synthetic data, what specific risk does the module highlight?","The module highlights the risk of model collapse, where the quality and diversity of the model degrade significantly due to the contamination from unverified synthetic training data.",learn,application,researcher;architect,intermediate;advanced,Global,AI/ML,,,,,,,,/learn/ai-security-pqc,,Topics Covered
ai-security-pqc-learn-017,ai-security-pqc,AI Security & PQC,"If an organization needs to secure model weights at rest and in transit, which PQC standard should they prioritize for signing?",The organization should prioritize FIPS 204 (ML-DSA) for digital signatures to ensure the authenticity and integrity of model weights during storage and transmission.,learn,application,developer;ops,advanced,USA,AI/ML,FIPS 204,,,,,,,/library?ref=FIPS%20204;/learn/ai-security-pqc,library_ref:FIPS 204 EXISTS,Key Standards
ai-security-pqc-workshop-018,ai-security-pqc,AI Security & PQC,How would you configure the Model Weight Vault to compare classical and PQC overhead?,"You would use the Model Weight Vault workshop step to configure encryption, key wrapping, and signing for model weights, then analyze the performance metrics to compare classical versus PQC overhead.",workshop,application,developer;architect,advanced,Global,AI/ML,,,,,,,,/learn/ai-security-pqc,,Workshop Steps
ai-security-pqc-learn-019,ai-security-pqc,AI Security & PQC,"When designing an authentication architecture for autonomous agents, what PQC element is critical for delegation chains?","PQC credentials are critical for designing secure delegation chains, ensuring that machine identities and delegated authorities remain resistant to quantum attacks.",learn,application,architect;developer,advanced,Global,General,,,,,,,,/learn/ai-security-pqc,,Topics Covered
