href,resolves_to,capability_claim,verified_on,verified_by,status,deprecated_at,deprecated_reason,notes
/playground/hsm-capacity,HsmCapacityCalculator,"Sizes an HSM fleet across ten enterprise workflows — storage, network and CPU per workflow — and reports whether a configured fleet clears the resulting demand.",2026-08-09,claude,active,,,"IT Ops primary. Was /playground/hsm until 2026-08-02, which is the PKCS#11 engine workbench and sizes nothing, while every other element of that hero described this calculator."
/business/tools/refresh-cycle-alignment,BusinessToolRoute,Phase 4 Activity 4.3 — maps PQC migration tasks onto already-funded infrastructure refresh cycles.,2026-08-09,claude,active,,,"Path corrected 2026-08-02: business tools are nested under /business (/business/tools/:toolId). /tools/<id> fell through to the catch-all route and silently rendered the HOME BOARD — the destination resolved, so nothing failed, it just showed the wrong page. Claim quoted from businessToolsRegistry.tsx's own description for this tool."
/assess,AssessView,Runs an 8-question assessment of your estate and produces a risk position with regulatory dates that already bind you.,2026-08-09,claude,active,,,Executive primary CTA.
/business/tools/program-charter,BusinessToolRoute,"Drafts the Phase 0 mandate artifact: sponsor sign-off, Steering Committee, QRPM appointment and governance model.",2026-08-09,claude,active,,,"Path corrected 2026-08-02: business tools are nested under /business (/business/tools/:toolId). /tools/<id> fell through to the catch-all route and silently rendered the HOME BOARD — the destination resolved, so nothing failed, it just showed the wrong page. Claim quoted from businessToolsRegistry.tsx's own description for this tool."
/playground/hybrid-encrypt,HybridEncryptWorkshop,"Runs an ML-KEM + X25519 ECDH + HKDF hybrid encryption pipeline, with each intermediate value shown.",2026-08-09,claude,active,,,Claim quoted from workshopRegistry.tsx's own description.
/business/tools/crypto-api-refactor-audit,BusinessToolRoute,"Grades current crypto-agility at your call sites, per CSWP.39 §4.1, and identifies the refactoring required.",2026-08-09,claude,active,,,"Path corrected 2026-08-02: business tools are nested under /business (/business/tools/:toolId). /tools/<id> fell through to the catch-all route and silently rendered the HOME BOARD — the destination resolved, so nothing failed, it just showed the wrong page. Claim quoted from businessToolsRegistry.tsx's own description for this tool."
/playground/cacp,KmipPlaygroundView,Opens a KMIP 3.0 control plane against a real PKCS#11 HSM in-browser; policy changes take effect on live key operations.,2026-08-09,claude,active,,,Architect primary.
/business/tools/hybrid-transition-planner,BusinessToolRoute,"Decision tree from CSWP.39 §3.2.4 — picks traditional+PQC, PQC+PQC or pure PQC per asset class.",2026-08-09,claude,active,,,"Path corrected 2026-08-02: business tools are nested under /business (/business/tools/:toolId). /tools/<id> fell through to the catch-all route and silently rendered the HOME BOARD — the destination resolved, so nothing failed, it just showed the wrong page. Claim quoted from businessToolsRegistry.tsx's own description for this tool."
/library,LibraryViewRedesign,"Opens the full reference corpus with source tier and verification date on every record, unfiltered for the researcher persona.",2026-08-09,claude,active,,,Researcher primary.
/revisions,RevisionsView,"Shows every logged correction to the compliance, vendor and migration data, with who reviewed it — the audit trail behind the catalogues.",2026-08-09,claude,active,,,"Verified 2026-08-02: renders 'Content Revisions ... reviewed, logged, and shown here'."
