question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
web-gateway-pqc-learn-001,web-gateway-pqc,Web Gateway PQC,What are the four TLS termination patterns discussed for web gateway PQC deployment?,"The four TLS termination patterns are terminate-and-inspect, passthrough, re-encrypt-backend, and split TLS. These patterns define how traffic is handled at reverse proxies, load balancers, WAFs, and CDNs during the transition to post-quantum cryptography.",learn,recall,architect;developer;ops,intermediate,Global,General,,,,,,,,/learn/web-gateway-pqc,,Key Topics: Four TLS termination patterns
web-gateway-pqc-learn-002,web-gateway-pqc,Web Gateway PQC,Which NIST standards define the ML-KEM and ML-DSA algorithms referenced in this module?,"ML-KEM is defined by FIPS 203, while ML-DSA is defined by FIPS 204. These standards are critical for implementing post-quantum key encapsulation and digital signatures in web gateway architectures.",learn,recall,researcher;architect,intermediate,Global,General,FIPS 203;FIPS 204,,,,KEM,,NIST,/library?ref=FIPS%20203;/library?ref=FIPS%20204;/algorithms?highlight=KEM;/learn/web-gateway-pqc,library_ref:FIPS 203 EXISTS|library_ref:FIPS 204 EXISTS|algorithm:KEM IN algorithms_csv|compliance_ref:NIST EXISTS,"Referenced Standards: FIPS 203, FIPS 204"
web-gateway-pqc-learn-003,web-gateway-pqc,Web Gateway PQC,What is the approximate handshake size for a pure PQC connection compared to a classical one?,"A classical TLS handshake is approximately 5KB, whereas a pure PQC handshake increases to about 25KB. This significant increase impacts bandwidth and latency at the infrastructure edge.",learn,recall,ops;developer,intermediate,Global,General,,,,,,,,/learn/web-gateway-pqc,,Key Topics: PQC handshake performance
web-gateway-pqc-learn-004,web-gateway-pqc,Web Gateway PQC,Which RFC standard is cited for certificate compression to mitigate PQC overhead?,"RFC 8879 is the standard referenced for certificate compression. Implementing this helps reduce the size of certificates, which is essential when dealing with larger post-quantum cryptographic keys.",learn,recall,developer;architect,intermediate,Global,General,RFC 8879,,,,,,,/library?ref=RFC%208879;/learn/web-gateway-pqc,library_ref:RFC 8879 EXISTS,Key Topics: Mitigations; Referenced Standards
web-gateway-pqc-learn-005,web-gateway-pqc,Web Gateway PQC,List three vendor products mentioned in the module that require PQC readiness assessment.,"The module lists F5 BIG-IP, NGINX, and HAProxy as examples of gateway products requiring PQC readiness assessment. Other vendors include Envoy, Kong, Traefik, Cloudflare, AWS ALB, Imperva, Palo Alto, and Broadcom Avi.",learn,recall,ops;architect,intermediate,Global,General,,,,,,F5 BIG-IP;HAProxy;Traefik,,/migrate?q=F5%20BIG-IP;/migrate?q=HAProxy;/migrate?q=Traefik;/learn/web-gateway-pqc,migrate_ref:F5 BIG-IP EXISTS|migrate_ref:HAProxy EXISTS|migrate_ref:Traefik EXISTS,Key Topics: Vendor readiness
web-gateway-pqc-workshop-006,web-gateway-pqc,Web Gateway PQC,What is the primary function of the 'Topology Builder' workshop step?,The Topology Builder step allows users to construct a web gateway architecture and identify specific points where PQC upgrades are needed. It utilizes four preset topologies to facilitate this analysis.,workshop,recall,architect;ops,intermediate,Global,General,,,,,,,,/learn/web-gateway-pqc,,Workshop Steps: Step 1
web-gateway-pqc-learn-007,web-gateway-pqc,Web Gateway PQC,Which IETF draft is mentioned regarding Merkle Tree Certificates?,The module references the IETF MTC Draft concerning Merkle Tree Certificates. This technology is presented as a mitigation strategy for managing certificate sizes in PQC environments.,learn,recall,researcher;developer,intermediate,Global,General,,,,,,,IETF,/learn/web-gateway-pqc,compliance_ref:IETF EXISTS,Referenced Standards: IETF MTC Draft
web-gateway-pqc-learn-008,web-gateway-pqc,Web Gateway PQC,How does the handshake size of a hybrid PQC connection compare to classical and pure PQC connections?,"A hybrid PQC handshake is approximately 15KB, which sits between the ~5KB of classical handshakes and the ~25KB of pure PQC handshakes. This intermediate size reflects the combination of classical and post-quantum algorithms.",learn,comprehension,ops;developer,intermediate,Global,General,,,,,,,,/learn/web-gateway-pqc,,Key Topics: PQC handshake performance
web-gateway-pqc-learn-009,web-gateway-pqc,Web Gateway PQC,Why is session resumption (PSK) considered a mitigation for PQC deployment?,Session resumption using Pre-Shared Keys (PSK) mitigates the performance impact of larger PQC handshakes by avoiding full handshake negotiations on subsequent connections. This reduces bandwidth consumption and latency at the edge.,learn,comprehension,architect;ops,intermediate,Global,General,,,,,,,,/learn/web-gateway-pqc,,Key Topics: Mitigations
web-gateway-pqc-learn-010,web-gateway-pqc,Web Gateway PQC,What challenge arises for WAF/IDS inspection when gateways cannot terminate PQC TLS?,"When gateways cannot terminate PQC TLS, WAF and IDS systems face challenges in inspecting encrypted traffic because they lack access to the decrypted payload. This limits their ability to detect threats or enforce security policies effectively.",learn,comprehension,security;architect,intermediate,Global,General,,,,,,,,/learn/web-gateway-pqc,,Key Topics: WAF/IDS inspection challenges
web-gateway-pqc-learn-011,web-gateway-pqc,Web Gateway PQC,How does the 're-encrypt-backend' TLS pattern differ from 'passthrough' in a PQC context?,"In the re-encrypt-backend pattern, the gateway terminates the client connection and establishes a new encrypted connection to the backend, allowing for different algorithms on each leg. Passthrough simply forwards the encrypted stream without termination, preventing the gateway from inspecting or modifying the traffic.",learn,comprehension,architect;developer,intermediate,Global,General,,,,,,,,/learn/web-gateway-pqc,,Key Topics: Four TLS termination patterns
web-gateway-pqc-learn-012,web-gateway-pqc,Web Gateway PQC,What is the impact of larger PQC certificates on Certificate Transparency (CT) logs?,"Larger PQC certificates increase the size of entries in Certificate Transparency logs, potentially impacting log performance and storage requirements. The module notes that CT log entry sizes can grow significantly when moving from classical to hybrid or pure PQC algorithms.",learn,comprehension,ops;architect,intermediate,Global,General,,,,,,,,/learn/web-gateway-pqc,,Key Topics: Certificate lifecycle at edge scale
web-gateway-pqc-learn-013,web-gateway-pqc,Web Gateway PQC,Why is origin shielding important in CDN edge deployment for PQC?,"Origin shielding is crucial in CDN deployments to protect the origin server from the increased load and complexity of PQC handshakes. It acts as an intermediate cache layer, reducing the number of direct connections to the origin across hundreds of Points of Presence (PoPs).",learn,comprehension,architect;ops,intermediate,Global,General,,,,,,,,/learn/web-gateway-pqc,,Key Topics: CDN edge deployment
web-gateway-pqc-learn-014,web-gateway-pqc,Web Gateway PQC,How does the 'split TLS' pattern facilitate PQC migration in complex architectures?,"The split TLS pattern allows different parts of the connection to use different cryptographic algorithms, enabling a gradual migration where the client-to-edge link uses PQC while the edge-to-backend link remains classical. This reduces risk and complexity during the transition.",learn,comprehension,architect;developer,intermediate,Global,General,,,,,,,,/learn/web-gateway-pqc,,Key Topics: Four TLS termination patterns
web-gateway-pqc-learn-015,web-gateway-pqc,Web Gateway PQC,What is the role of ACME automation in certificate lifecycle management at scale?,ACME automation streamlines the issuance and renewal of certificates across hundreds of Points of Presence (PoPs) in large-scale edge deployments. It is essential for managing the increased frequency and complexity of certificate rotations required by PQC.,learn,comprehension,ops;developer,intermediate,Global,General,,,,,,,,/learn/web-gateway-pqc,,Key Topics: Certificate lifecycle at edge scale
web-gateway-pqc-both-016,web-gateway-pqc,Web Gateway PQC,"If a gateway must support both classical and PQC clients, which handshake size should be budgeted for worst-case scenarios?","For worst-case scenarios involving pure PQC clients, the gateway should budget for a handshake size of approximately 25KB. This ensures sufficient bandwidth and buffer allocation to handle the largest possible cryptographic exchanges.",both,application,ops;architect,intermediate,Global,General,,,,,,,,/learn/web-gateway-pqc,,Key Topics: PQC handshake performance
web-gateway-pqc-workshop-017,web-gateway-pqc,Web Gateway PQC,How would you configure the 'Handshake Budget Calculator' to estimate bandwidth costs for a hybrid deployment?,"To estimate bandwidth costs, input the expected number of connections and select the hybrid algorithm profile, which corresponds to a ~15KB handshake size. The calculator then multiplies this by connection volume to determine total bandwidth requirements.",workshop,application,ops;architect,intermediate,Global,General,,,,,,,,/learn/web-gateway-pqc,,Workshop Steps: Step 3
web-gateway-pqc-both-018,web-gateway-pqc,Web Gateway PQC,"In a scenario where WAF inspection is mandatory, which TLS termination pattern must be avoided if the backend does not support PQC?","The 'passthrough' pattern must be avoided because it prevents the gateway from terminating the TLS connection, making inspection impossible. Instead, 'terminate-and-inspect' or 're-encrypt-backend' should be used to decrypt traffic for WAF analysis.",both,application,security;architect,intermediate,Global,General,,,,,,,,/learn/web-gateway-pqc,,Key Topics: WAF/IDS inspection challenges
web-gateway-pqc-workshop-019,web-gateway-pqc,Web Gateway PQC,How does the 'Certificate Rotation Planner' help manage risk during a phased PQC rollout?,The planner calculates daily renewal rates and identifies the 'risk window' where some nodes run classical certs while others use PQC. This allows operators to schedule rollouts that minimize exposure to vulnerabilities or compatibility issues.,workshop,application,ops;architect,intermediate,Global,General,,,,,,,,/learn/web-gateway-pqc,,Workshop Steps: Step 4
web-gateway-pqc-both-020,web-gateway-pqc,Web Gateway PQC,"If a CDN has 300+ PoPs, what strategy is recommended for distributing PQC keys?","For CDNs with 300+ PoPs, the recommended strategy involves origin shielding and efficient key distribution mechanisms to ensure all edge nodes receive updated PQC keys simultaneously. This prevents inconsistencies that could lead to connection failures.",both,application,architect;ops,intermediate,Global,General,,,,,,,,/learn/web-gateway-pqc,,Key Topics: CDN edge deployment
web-gateway-pqc-workshop-021,web-gateway-pqc,Web Gateway PQC,How would you use the 'Vendor Readiness Matrix' to prioritize upgrades for a multi-vendor environment?,"Use the matrix to assess each vendor product against specific PQC readiness criteria, identifying gaps in support for standards like FIPS 203 or RFC 8446. Prioritize upgrades for vendors with the largest gaps or those handling the most critical traffic.",workshop,application,architect;executive,intermediate,Global,General,FIPS 203;RFC 8446,,,,,,,/library?ref=FIPS%20203;/library?ref=RFC%208446;/learn/web-gateway-pqc,library_ref:FIPS 203 EXISTS|library_ref:RFC 8446 EXISTS,Workshop Steps: Step 5
web-gateway-pqc-both-022,web-gateway-pqc,Web Gateway PQC,What mitigation strategy should be applied if the calculated PQC handshake size exceeds current network buffer limits?,"Implement certificate compression (RFC 8879) and session resumption (PSK) to reduce the effective payload size of handshakes. Additionally, consider using HTTP/3 QUIC or connection coalescing to optimize transport efficiency.",both,application,developer;ops,intermediate,Global,General,RFC 8879,,,,,,,/library?ref=RFC%208879;/learn/web-gateway-pqc,library_ref:RFC 8879 EXISTS,Key Topics: Mitigations
web-gateway-pqc-workshop-023,web-gateway-pqc,Web Gateway PQC,How does the 'Topology Builder' assist in identifying upgrade points for a legacy architecture?,"The Topology Builder visualizes the current web gateway setup, highlighting reverse proxies and load balancers that act as TLS termination points. This visualization helps identify exactly which components need PQC upgrades to secure the edge.",workshop,application,architect;ops,intermediate,Global,General,,,,,,,,/learn/web-gateway-pqc,,Workshop Steps: Step 1
web-gateway-pqc-both-024,web-gateway-pqc,Web Gateway PQC,Synthesize the impact of FIPS 203 and FIPS 204 on the 'Certificate Rotation Planner' workflow.,"Adopting FIPS 203 (ML-KEM) and FIPS 204 (ML-DSA) increases certificate sizes, which directly impacts the 'Certificate Rotation Planner' by raising CT log entry sizes and daily renewal bandwidth. This necessitates a more conservative rollout pace to manage infrastructure load.",both,synthesis,architect;ops,advanced,Global,General,FIPS 203;FIPS 204,,,,KEM,,,/library?ref=FIPS%20203;/library?ref=FIPS%20204;/algorithms?highlight=KEM;/learn/web-gateway-pqc,library_ref:FIPS 203 EXISTS|library_ref:FIPS 204 EXISTS|algorithm:KEM IN algorithms_csv,Referenced Standards; Workshop Steps: Step 4
web-gateway-pqc-both-025,web-gateway-pqc,Web Gateway PQC,How do the four TLS termination patterns interact with the performance constraints of PQC handshakes?,"Patterns like 'terminate-and-inspect' and 're-encrypt-backend' incur double handshake costs if both legs use PQC, exacerbating the ~25KB size issue. Conversely, 'passthrough' avoids this cost but sacrifices inspection capabilities, requiring a trade-off between security visibility and performance.",both,synthesis,architect;security,advanced,Global,General,,,,,,,,/learn/web-gateway-pqc,,Key Topics: Four TLS termination patterns; PQC handshake performance
web-gateway-pqc-both-026,web-gateway-pqc,Web Gateway PQC,Evaluate the combined effect of Merkle Tree Certificates and RFC 8879 on CDN edge deployment scalability.,Combining Merkle Tree Certificates with RFC 8879 compression significantly reduces the storage and transmission overhead of PQC certificates across 300+ PoPs. This synergy allows CDNs to scale PQC adoption without overwhelming origin shielding or network bandwidth.,both,synthesis,architect;developer,advanced,Global,General,RFC 8879,,,,,,,/library?ref=RFC%208879;/learn/web-gateway-pqc,library_ref:RFC 8879 EXISTS,Key Topics: Mitigations; CDN edge deployment
web-gateway-pqc-both-027,web-gateway-pqc,Web Gateway PQC,How does the 'Vendor Readiness Matrix' inform the selection of TLS termination patterns for a specific organization?,"The matrix reveals which vendors support specific PQC algorithms and TLS features, dictating whether an organization can safely use 'terminate-and-inspect' or must rely on 'passthrough'. This assessment ensures that chosen patterns align with actual vendor capabilities.",both,synthesis,executive;architect,advanced,Global,General,,,,,,,,/learn/web-gateway-pqc,,Workshop Steps: Step 5; Key Topics: Vendor readiness
web-gateway-pqc-both-028,web-gateway-pqc,Web Gateway PQC,Analyze the relationship between NIST SP 800-227 guidelines and the 'Handshake Budget Calculator' outputs.,"NIST SP 800-227 provides migration guidelines that inform the parameters used in the Handshake Budget Calculator, such as acceptable latency thresholds and hybrid algorithm preferences. The calculator translates these high-level guidelines into concrete bandwidth and performance metrics.",both,synthesis,researcher;architect,advanced,Global,General,NIST SP 800-227,,,,,,NIST,/library?ref=NIST%20SP%20800-227;/learn/web-gateway-pqc,library_ref:NIST SP 800-227 EXISTS|compliance_ref:NIST EXISTS,Referenced Standards: NIST SP 800-227; Workshop Steps: Step 3
