patent_number,title,inventors,assignee,priority_date,issue_date,cpc_codes,one_sentence_summary,primary_inventive_claim,crypto_agility_mode,migration_strategy,quantum_relevance,quantum_notes,protocols,classical_algorithms,pqc_algorithms,quantum_technology,key_management_ops,hardware_components,authentication_factors,standards_referenced,threat_model,entropy_source,primitive_types,application_domain,independent_claim_subjects,performance_claims,data_types_protected,compliance_targets,citation_graph,claim_dependencies,nist_round_status
12519627,Key establishment and secure communications using satellite-provided random number values,Bordow; Peter Burton et al.,"Wells Fargo Bank, N.A.",2024-02-22,2026-01-06,H04L9/0852;H04L9/0869;H04L9/0872,"A system generates cryptographic keys by combining random values from quantum random number generators located on satellites and terrestrial stations, coordinated via key generation parameters to establish secure communication channels.","The invention claims a method where a terrestrial computing system receives first and second random values generated by quantum random number generators, with at least one value provided via satellite communication. These values are combined according to specific key generation parameters to serve as a seed for a cryptographic function that produces a shared symmetric key.",hybrid,none,core_invention,Quantum Random Number Generators (QRNGs) are explicitly required in independent claims 1 and 12 as the source of the random values used for key generation. The invention relies on quantum-derived entropy provided via satellite or terrestrial QRNGs to ensure high-quality randomness.,TLS,AES; KDF,,qrng; satellite_qkd,generation; derivation; exchange; distribution,QRNG; satellite; IoT; mobile; server,,,MITM; interception,QRNG,symmetric-cipher; KDF,banking; telecom; IoT,method for generating a cryptographic key based on satellite-provided random values; non-transitory machine-readable medium for generating a cryptographic key,,financial; transactions; session-keys,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for generating a cryptographic key based on satellite-provided random values""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""determining key generation parameters at terrestrial location""}, {""claim"": 3, ""depends_on"": [2], ""subject"": ""communicating key generation parameters to satellite""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""receiving key generation parameters in satellite communication""}, {""claim"": 5, ""depends_on"": [4], ""subject"": ""key generation parameters determined by satellite or another terrestrial location""}, {""claim"": 6, ""depends_on"": [5], ""subject"": ""synchronized selection of key generation parameters""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""using additional data values in key generation""}, {""claim"": 8, ""depends_on"": [7], ""subject"": ""key derivation function for symmetric key""}, {""claim"": 9, ""depends_on"": [1], ""subject"": ""random values provided as result of Boolean function at satellite""}, {""claim"": 10, ""depends_on"": [1], ""subject"": ""first random value from terrestrial QRNG, second from another terrestrial via satellite""}, {""claim"": 11, ""depends_on"": [1], ""subject"": ""initial and failure scenario key generation parameters""}, {""claim"": 12, ""depends_on"": [], ""subject"": ""non-transitory machine-readable medium for generating a cryptographic key""}, {""claim"": 13, ""depends_on"": [12], ""subject"": ""determining key generation parameters at terrestrial location""}, {""claim"": 14, ""depends_on"": [13], ""subject"": ""communicating key generation parameters to satellite""}, {""claim"": 15, ""depends_on"": [12], ""subject"": ""identifying key generation parameters in satellite communication""}, {""claim"": 16, ""depends_on"": [15], ""subject"": ""key generation parameters determined by satellite or another terrestrial location""}, {""claim"": 17, ""depends_on"": [16], ""subject"": ""synchronized selection of key generation parameters""}, {""claim"": 18, ""depends_on"": [12], ""subject"": ""using additional data values in key generation""}, {""claim"": 19, ""depends_on"": [18], ""subject"": ""key derivation function for symmetric key""}, {""claim"": 20, ""depends_on"": [12], ""subject"": ""random values provided as result of Boolean function at satellite""}, {""claim"": 21, ""depends_on"": [12], ""subject"": ""first random value from terrestrial QRNG, second from another terrestrial via satellite""}, {""claim"": 22, ""depends_on"": [12], ""subject"": ""initial and failure scenario key generation parameters""}]",[]
12512975,Systems and methods for establishing cryptographic keys shared among three or more devices,Stapleton; Jeff J. et al.,"Wells Fargo Bank, N.A.",2023-09-11,2025-12-30,H04L9/0852;H04L9/0861;H04L9/0855,Systems and methods establish shared cryptographic keys among three or more devices using N-way entangled particle triplets to enable symmetric authentication and secure failover in distributed networks.,"The invention claims a method for establishing cryptographic keys shared among three or more devices by generating entangled particle triplets, distributing them to respective host devices, and verifying matching bit sets derived from quantum measurements. This N-way entanglement allows multiple devices to share identical keys without pairwise key exchanges, facilitating secure group messaging and failover capabilities.",unclear,none,core_invention,"Quantum technology is central to the independent claims (1, 15, 18). Claim 1 explicitly requires receiving bits derived from entangled particles. Claims 2 and 16 detail the generation of entangled particle triplets via quantum trisection circuitry. The invention relies on N-way entanglement for key establishment among three or more devices.",E91,,,entanglement; qkd,generation; distribution; exchange,HSM; quantum-source; FPGA; ASIC,possession,,MITM,quantum-entanglement,KDF,banking; telecom,method for establishing cryptographic keys shared among three or more devices; apparatus for establishing cryptographic keys shared among three or more devices; apparatus for establishing a secure communications channel between two or more devices,,session-keys,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for establishing cryptographic keys shared among three or more devices""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""generating particles and entangled triplets""}, {""claim"": 3, ""depends_on"": [2], ""subject"": ""particle generator circuitry as component of first host device""}, {""claim"": 4, ""depends_on"": [2], ""subject"": ""quantum trisection circuitry as component of first host device""}, {""claim"": 5, ""depends_on"": [2], ""subject"": ""HSM comprising generator and trisection circuitry""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""determining matching bits via pairwise comparison""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""determining matching bits via sequential verification""}, {""claim"": 8, ""depends_on"": [1], ""subject"": ""providing first bits to second and third devices""}, {""claim"": 9, ""depends_on"": [8], ""subject"": ""receiving indications of identical bits from second and third devices""}, {""claim"": 10, ""depends_on"": [1], ""subject"": ""generating symmetric key based on matching bits""}, {""claim"": 11, ""depends_on"": [10], ""subject"": ""using key derivation function""}, {""claim"": 12, ""depends_on"": [1], ""subject"": ""establishing keys based on pre-determined quantity of bits""}, {""claim"": 13, ""depends_on"": [1], ""subject"": ""HSM comprising cryptographic circuitry""}, {""claim"": 14, ""depends_on"": [1], ""subject"": ""measuring entangled particle to determine bits""}, {""claim"": 15, ""depends_on"": [], ""subject"": ""apparatus for establishing cryptographic keys shared among three or more devices""}, {""claim"": 16, ""depends_on"": [15], ""subject"": ""apparatus with particle generator and quantum trisection circuitry""}, {""claim"": 17, ""depends_on"": [15], ""subject"": ""determining matching bits via pairwise comparison in apparatus""}, {""claim"": 18, ""depends_on"": [], ""subject"": ""apparatus for establishing secure communications channel between two or more devices""}, {""claim"": 19, ""depends_on"": [18], ""subject"": ""means for generating particles and entangled triplets""}, {""claim"": 20, ""depends_on"": [18], ""subject"": ""determining matching bits via pairwise comparison in means-plus-function apparatus""}]",[]
12481854,Systems and methods for secure utilization of quick response codes,Stapleton; Jeff J. et al.,"Wells Fargo Bank, N.A.",2022-11-04,2025-11-25,G06K19/06018;H04L9/0852;H04L9/0858,"Systems and methods secure QR code utilization by embedding control sets and keys into payloads, optionally using quantum key distribution via entangled particles to generate shared secrets for authentication.","The invention secures QR codes by injecting a control set governing applicability (e.g., TTL, bearer identity) into the payload before generating a secure character string. It further encodes a second key within the string using an encoding pattern derived from a shared secret known to both initiating and participating devices.",hybrid,none,dependent_claim_only,"Quantum technology (QKD and entangled particles) appears only in dependent claims 2-3, 10-11. The primary invention in independent claims 1, 9, and 17 does not require quantum technology; it functions with any shared key obtained via other means as noted in the description.",QKD,,,qkd; entanglement,generation; distribution,QRNG; quantum-source; mobile,possession; inherence/biometric,ISO/IEC 18004,MITM; replay,quantum-entanglement,signature; MAC; hash,banking,method for secure utilization of quick response (QR) codes; apparatus for secure utilization of quick response (QR) codes; computer program product for secure utilization of quick response (QR) codes,,financial; biometric,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for secure utilization of QR codes""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""obtaining key via QKD device""}, {""claim"": 3, ""depends_on"": [2], ""subject"": ""obtaining entangled particles and measuring state""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""control set details including TTL and bearer info""}, {""claim"": 5, ""depends_on"": [4], ""subject"": ""biometric data for bearer identification""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""applying data protection mechanism to payload""}, {""claim"": 7, ""depends_on"": [6], ""subject"": ""encryption, signing, timestamping, or MAC embedding""}, {""claim"": 8, ""depends_on"": [1], ""subject"": ""transmitting QR code directly or via intermediary""}, {""claim"": 9, ""depends_on"": [], ""subject"": ""apparatus for secure utilization of QR codes""}, {""claim"": 10, ""depends_on"": [9], ""subject"": ""obtaining key via QKD device""}, {""claim"": 11, ""depends_on"": [10], ""subject"": ""obtaining entangled particles and measuring state""}, {""claim"": 12, ""depends_on"": [9], ""subject"": ""control set details including TTL and bearer info""}, {""claim"": 13, ""depends_on"": [12], ""subject"": ""biometric data for bearer identification""}, {""claim"": 14, ""depends_on"": [9], ""subject"": ""applying data protection mechanism to payload""}, {""claim"": 15, ""depends_on"": [14], ""subject"": ""encryption, signing, timestamping, or MAC embedding""}, {""claim"": 16, ""depends_on"": [9], ""subject"": ""transmitting QR code directly or via intermediary""}, {""claim"": 17, ""depends_on"": [], ""subject"": ""computer program product for secure utilization of QR codes""}, {""claim"": 18, ""depends_on"": [1], ""subject"": ""receiving second key independently""}, {""claim"": 19, ""depends_on"": [9], ""subject"": ""receiving second key independently""}, {""claim"": 20, ""depends_on"": [17], ""subject"": ""receiving second key independently""}]",[]
12475351,Systems and methods for determining a security vulnerability of a computer system,Bordow; Peter et al.,"Wells Fargo Bank, N.A.",2024-02-21,2025-11-18,G06N3/006;H04L63/1433;G06F3/167;G06N3/08;H04L41/16,Systems and methods use automated reinforcement learning with large language models to simulate social engineering attacks and identify security vulnerabilities in computer systems.,"The invention integrates a natural language engine into an automated reinforcement learning framework to generate and execute social engineering scripts as actions within a simulated or real environment. This allows the system to learn optimal attack policies by receiving rewards based on successful access to target systems, including those protected by post-quantum cryptography.",unclear,assessment,dependent_claim_only,"Post-quantum cryptography (PQC) is mentioned only in dependent claim 12, which specifies that the environment may comprise a PQC protected system and rewards are based on accessing it. The primary invention (claims 1, 13, 20) does not require quantum technology or PQC to function; it is an optional embodiment for testing specific security configurations.",,,,none,,FPGA; mobile,,,social-engineering; penetration-testing,,,banking; cloud,"method for determining a security vulnerability of a system; apparatus for determining a security vulnerability of a system; apparatus comprising means for receiving, initializing, selecting, executing, and updating",,,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for determining a security vulnerability of a system""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""determining convergence criterion and halting execution""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""states represented using knowledge graphs""}, {""claim"": 4, ""depends_on"": [3], ""subject"": ""generating updated knowledge graph based on observation""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""environment is a simulated environment""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""providing script to human agent and receiving result indication""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""reward function encourages gaining access to specified computing device""}, {""claim"": 8, ""depends_on"": [1], ""subject"": ""policy comprises a deep neural network""}, {""claim"": 9, ""depends_on"": [8], ""subject"": ""policy comprises control system distinct from deep neural network""}, {""claim"": 10, ""depends_on"": [1], ""subject"": ""receiving policy initialization data comprising social engineering method""}, {""claim"": 11, ""depends_on"": [10], ""subject"": ""policy initialization data comprises behavior profile from known groups""}, {""claim"": 12, ""depends_on"": [1], ""subject"": ""environment comprises PQC protected system and reward based on accessing it""}, {""claim"": 13, ""depends_on"": [], ""subject"": ""apparatus for determining a security vulnerability of a system""}, {""claim"": 14, ""depends_on"": [13], ""subject"": ""determining convergence criterion and halting execution""}, {""claim"": 15, ""depends_on"": [13], ""subject"": ""states represented using knowledge graphs""}, {""claim"": 16, ""depends_on"": [15], ""subject"": ""generating updated knowledge graph based on observation""}, {""claim"": 17, ""depends_on"": [13], ""subject"": ""environment is a simulated environment""}, {""claim"": 18, ""depends_on"": [13], ""subject"": ""providing script to human agent and receiving result indication""}, {""claim"": 19, ""depends_on"": [13], ""subject"": ""reward function encourages gaining access to specified computing device""}, {""claim"": 20, ""depends_on"": [], ""subject"": ""apparatus comprising means for determining a security vulnerability of a system""}]",[]
12470552,Secure data processing using data packages generated by edge devices,Bell; Thomas E. et al.,"Wells Fargo Bank, N.A.",2022-07-27,2025-11-11,H04L63/083;H04L63/0861,A method for secure data processing where edge devices generate biometric signatures and encrypt user data with device identifiers to create tamper-evident data packages validated by security tokens.,"The invention generates a data package containing encrypted user data derived from a biometric signature and device identifier, secured by a security token that invalidates upon any alteration. This package is transmitted to secondary systems using digital keys to provide services while ensuring data integrity and authenticity.",classical_only,none,none,none,HTTPS; REST; SOAP,RSA; ECDH; ECDHE; SHA-256,,none,generation; exchange; distribution; storage,mobile; IoT; FPGA; ASIC,inherence/biometric; possession; location,,tampering; forgery; MITM,OS,symmetric-cipher; KEM; hash,banking; government; healthcare; IoT,edge-computing method for secure data processing; computing device for generating authentication data packages,,PII; biometric; financial,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""edge-computing method""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""transmission in response to user input""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""transmission in response to request""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""encryption using biometric and device ID""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""facial feature biometric""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""voice biometric""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""image input""}, {""claim"": 8, ""depends_on"": [7], ""subject"": ""image integrity analysis""}, {""claim"": 9, ""depends_on"": [1], ""subject"": ""user data from image""}, {""claim"": 10, ""depends_on"": [1], ""subject"": ""filters for authenticity""}, {""claim"": 11, ""depends_on"": [10], ""subject"": ""non-visible light filters""}, {""claim"": 12, ""depends_on"": [10], ""subject"": ""forgery likelihood determination""}, {""claim"": 13, ""depends_on"": [1], ""subject"": ""hashing operation""}, {""claim"": 14, ""depends_on"": [1], ""subject"": ""geolocation detection""}, {""claim"": 15, ""depends_on"": [14], ""subject"": ""user data includes geolocation""}, {""claim"": 16, ""depends_on"": [1], ""subject"": ""device ID from OS""}, {""claim"": 17, ""depends_on"": [1], ""subject"": ""public keys""}, {""claim"": 18, ""depends_on"": [], ""subject"": ""computing device system""}, {""claim"": 19, ""depends_on"": [18], ""subject"": ""transmission in response to user input""}, {""claim"": 20, ""depends_on"": [18], ""subject"": ""encryption using biometric and device ID""}]",[]
12388820,Systems and methods for identifying activities of individuals in virtual spaces using identity linking,Salim; Sadie S. et al.,"Wells Fargo Bank, N.A.",2022-09-16,2025-08-12,H04L63/0876,Systems and methods link multiple virtual identities to a foundational identity using identifiers like NFTs or biometrics to verify user activities across different virtual spaces.,"The invention establishes a foundational identity linked to various virtual identities via an identifier such as a string, biometric data, non-fungible token, or image. This linkage enables the verification of identity activities across disparate virtual spaces by associating unlinked identities through the foundational identity.",unclear,none,none,none,,,,none,,mobile; IoT,inherence/biometric; possession,,insider,,,banking; blockchain,method for linking identities across a plurality of virtual spaces; apparatus for linking identities across a plurality of virtual spaces; computer program product for linking identities across a plurality of virtual spaces,,biometric; PII,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for linking identities across a plurality of virtual spaces""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""verifying identity activity by allowing execution if associated""}, {""claim"": 3, ""depends_on"": [2], ""subject"": ""second identity directly associated with foundational identity""}, {""claim"": 4, ""depends_on"": [2], ""subject"": ""second identity indirectly associated through a third identity""}, {""claim"": 5, ""depends_on"": [2], ""subject"": ""verifying identity activity by blocking execution if not associated""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""foundational identity as unique identifier for individuals""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""identities in different virtual spaces""}, {""claim"": 8, ""depends_on"": [7], ""subject"": ""identities associated with same individual""}, {""claim"": 9, ""depends_on"": [7], ""subject"": ""identities associated with different individuals""}, {""claim"": 10, ""depends_on"": [1], ""subject"": ""identities as digital avatars""}, {""claim"": 11, ""depends_on"": [1], ""subject"": ""output causing execution to be blocked""}, {""claim"": 12, ""depends_on"": [], ""subject"": ""apparatus for linking identities across a plurality of virtual spaces""}, {""claim"": 13, ""depends_on"": [12], ""subject"": ""verification engine allowing execution if associated""}, {""claim"": 14, ""depends_on"": [13], ""subject"": ""second identity directly associated with foundational identity""}, {""claim"": 15, ""depends_on"": [13], ""subject"": ""second identity indirectly associated through a third identity""}, {""claim"": 16, ""depends_on"": [13], ""subject"": ""verification engine blocking execution if not associated""}, {""claim"": 17, ""depends_on"": [], ""subject"": ""computer program product for linking identities across a plurality of virtual spaces""}, {""claim"": 18, ""depends_on"": [17], ""subject"": ""verifying identity activity by allowing execution if associated""}, {""claim"": 19, ""depends_on"": [18], ""subject"": ""second identity directly associated with foundational identity""}, {""claim"": 20, ""depends_on"": [18], ""subject"": ""second identity indirectly associated through a third identity""}]",[]
12347095,Sensor data processing for monitoring device performance,Bell; Thomas E. et al.,"Wells Fargo Bank, N.A.",2022-08-26,2025-07-01,G06K7/1417;G10L25/03;G10L25/51;G06V10/95;G06T7/001,A system monitors manufactured article status by comparing real-time sound and vibration sensor data against stored identity profiles to detect tampering or performance degradation.,"The invention claims a method of maintaining identity elements for manufactured articles by capturing sound and vibration sensor data during normal operations, generating a sound signature, and storing it in an identity profile. Subsequent sensor readings are compared against the stored profile to determine whether the article's state has substantially changed, thereby detecting tampering, substitution, or performance degradation without reliance on traditional security labels or human inspection.",unclear,none,none,none,,,,none,,IoT; mobile; FPGA,possession; behavior,,insider,,,IoT; banking,method for maintaining identity elements for manufactured articles; computing system comprising one or more processors configured to maintain identity elements,,,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for maintaining identity elements for manufactured articles""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""status indicating first or second state based on threshold""}, {""claim"": 3, ""depends_on"": [2], ""subject"": ""first state indicates substantially unchanged article""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""status indicating identity verification""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""scan corresponds to a code""}, {""claim"": 6, ""depends_on"": [5], ""subject"": ""code is a QR code""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""imaging device is a camera""}, {""claim"": 8, ""depends_on"": [1], ""subject"": ""recording is a video""}, {""claim"": 9, ""depends_on"": [1], ""subject"": ""adding sound sample to identity profile""}, {""claim"": 10, ""depends_on"": [1], ""subject"": ""generating and adding second sound signature""}, {""claim"": 11, ""depends_on"": [1], ""subject"": ""generating sound signature from earlier sample""}, {""claim"": 12, ""depends_on"": [1], ""subject"": ""receiving and adding location data""}, {""claim"": 13, ""depends_on"": [1], ""subject"": ""operation comprises startup""}, {""claim"": 14, ""depends_on"": [1], ""subject"": ""operation corresponds to performing a task""}, {""claim"": 15, ""depends_on"": [1], ""subject"": ""identity profile comprises set of identity elements""}, {""claim"": 16, ""depends_on"": [15], ""subject"": ""identity elements comprise design data""}, {""claim"": 17, ""depends_on"": [15], ""subject"": ""identity elements comprise manufacturing data""}, {""claim"": 18, ""depends_on"": [], ""subject"": ""computing system for maintaining identity elements""}, {""claim"": 19, ""depends_on"": [18], ""subject"": ""status indicating first or second state based on threshold""}, {""claim"": 20, ""depends_on"": [19], ""subject"": ""first state indicates substantially unchanged article""}]",[]
12299093,Machine-learning for real-time and secure analysis of digital metrics,Bell; Thomas E. et al.,"Wells Fargo Bank, N.A.",2022-08-23,2025-05-13,G06F21/316;G06F21/46,A machine-learning system analyzes digital identity profiles to detect security risks and generates transitional elements via an AI agent to trigger secure electronic messages.,The invention trains an artificial intelligence agent using historical digital identity metrics to identify transitional elements indicating security risks. The trained agent then processes new profiles to generate these elements and triggers the transmission of electronic messages containing selectable links for remediation.,unclear,none,none,none,,,,none,,mobile; FPGA,knowledge; behavior,,insider; network_security_breaches,,,banking; cloud,method for executing machine-learning models for real-time and secure analysis of digital metrics; computing system configured to execute machine-learning models for network security,,PII; financial,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for generating metrics and training AI agent""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""pattern recognition or classification model""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""regression model""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""decisioning model""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""adding transitional elements to profiles""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""retrieving data from second computing system""}, {""claim"": 7, ""depends_on"": [6], ""subject"": ""transmitting API call""}, {""claim"": 8, ""depends_on"": [1], ""subject"": ""retrieving second set of profiles""}, {""claim"": 9, ""depends_on"": [8], ""subject"": ""transmitting API call""}, {""claim"": 10, ""depends_on"": [1], ""subject"": ""profiles maintained by computing system""}, {""claim"": 11, ""depends_on"": [1], ""subject"": ""metric indicating predetermined outcome""}, {""claim"": 12, ""depends_on"": [1], ""subject"": ""electronic messages with selectable links""}, {""claim"": 13, ""depends_on"": [12], ""subject"": ""determining link activation""}, {""claim"": 14, ""depends_on"": [13], ""subject"": ""adding indication of activation""}, {""claim"": 15, ""depends_on"": [13], ""subject"": ""transmitting second set of messages""}, {""claim"": 16, ""depends_on"": [], ""subject"": ""computing system for executing machine-learning models""}, {""claim"": 17, ""depends_on"": [16], ""subject"": ""pattern recognition, regression, or decisioning model""}, {""claim"": 18, ""depends_on"": [16], ""subject"": ""adding transitional elements to profiles""}, {""claim"": 19, ""depends_on"": [16], ""subject"": ""electronic messages with selectable links""}, {""claim"": 20, ""depends_on"": [19], ""subject"": ""determining activation and transmitting second messages""}]",[]
12301706,Translate random unique method for passcode encryption technology,Stapleton; Jeff J.,"Wells Fargo Bank, N.A.",2021-12-22,2025-05-13,H04L9/0825;H04L9/3231;H04L9/085;H04L9/0863;H04L9/0866;H04L9/3226,A system authenticates users by deriving unique transaction keys from a base key and counter to encrypt passwords generated from dynamic gesture or biometric inputs mapped to random value tables.,"The invention combines Derived Unique Key Per Transaction (DUKPT) style key derivation with a dynamic, randomized mapping of user gestures or biometrics to generate one-time passcodes. This approach ensures that even if a specific gesture is repeated, the resulting encrypted secret value changes per transaction due to the evolving key and random grid values.",classical_only,none,none,none,,AES; SHA-256,,none,generation; derivation; rotation,mobile; IoT,knowledge; possession; inherence/biometric; behavior,ANSI X9.24,replay,deterministic-PRNG,symmetric-cipher; hash; KDF,banking,method for authenticating user credentials; device for authenticating user credentials,,financial; biometric; session-keys,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for authenticating user credentials""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""counter maximum check""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""counter minimum check""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""second authentication request""}, {""claim"": 5, ""depends_on"": [4], ""subject"": ""new encrypted secret value difference""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""hashed device identifier string extraction""}, {""claim"": 7, ""depends_on"": [6], ""subject"": ""camera captured movement""}, {""claim"": 8, ""depends_on"": [6], ""subject"": ""microphone captured utterance""}, {""claim"": 9, ""depends_on"": [6], ""subject"": ""grid gesture""}, {""claim"": 10, ""depends_on"": [9], ""subject"": ""static grid""}, {""claim"": 11, ""depends_on"": [9], ""subject"": ""arbitrary grid""}, {""claim"": 12, ""depends_on"": [1], ""subject"": ""keyboard input mapping""}, {""claim"": 13, ""depends_on"": [1], ""subject"": ""biometric input mapping""}, {""claim"": 14, ""depends_on"": [], ""subject"": ""device for authenticating user credentials""}, {""claim"": 15, ""depends_on"": [14], ""subject"": ""counter maximum check""}, {""claim"": 16, ""depends_on"": [14], ""subject"": ""counter minimum check""}, {""claim"": 17, ""depends_on"": [14], ""subject"": ""second authentication request""}, {""claim"": 18, ""depends_on"": [17], ""subject"": ""new encrypted secret value difference""}, {""claim"": 19, ""depends_on"": [14], ""subject"": ""hashed device identifier string extraction""}, {""claim"": 20, ""depends_on"": [19], ""subject"": ""gesture types""}]",[]
12284172,Secure generation of authentication datasets from network activity,Bell; Thomas E. et al.,"Wells Fargo Bank, N.A.",2022-08-24,2025-04-22,H04L63/102;H04L63/083,A system generates secure authentication datasets by analyzing secured and unsecured network data sources using NLP to detect threats and enforce credential replacement.,"The invention utilizes a machine-learning model, specifically natural language processing, to analyze data from both secured and unsecured external sources. It identifies recurrent data elements indicating security threats and automatically forces the generation of new credentials that are not present in the compromised datasets.",unclear,none,none,none,,,,none,generation; rotation,mobile; IoT,knowledge,,insider; identity_theft; data_breach,,,banking,method for secure generation of authentication datasets; first computing system comprising a server,,PII; financial,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for secure generation of authentication datasets""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""providing registration page for digital security service""}, {""claim"": 3, ""depends_on"": [2], ""subject"": ""obtaining network access based on registration inputs""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""credentials comprising a passcode""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""credentials comprising security question response""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""second dataset comprising documents""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""second dataset comprising audio recordings""}, {""claim"": 8, ""depends_on"": [1], ""subject"": ""second dataset comprising video recordings""}, {""claim"": 9, ""depends_on"": [1], ""subject"": ""extracting third dataset via web scraping""}, {""claim"": 10, ""depends_on"": [1], ""subject"": ""third dataset indicating data breach""}, {""claim"": 11, ""depends_on"": [10], ""subject"": ""determining compromised system stored user data""}, {""claim"": 12, ""depends_on"": [11], ""subject"": ""determination based on account activity""}, {""claim"": 13, ""depends_on"": [12], ""subject"": ""account activity identifying electronic transaction""}, {""claim"": 14, ""depends_on"": [1], ""subject"": ""periodically retrieving data from secured sources""}, {""claim"": 15, ""depends_on"": [14], ""subject"": ""transmitting API calls to second computing system""}, {""claim"": 16, ""depends_on"": [15], ""subject"": ""API calls transmitted on weekly basis""}, {""claim"": 17, ""depends_on"": [16], ""subject"": ""API calls comprising security token for first system""}, {""claim"": 18, ""depends_on"": [16], ""subject"": ""API calls comprising security token for first account""}, {""claim"": 19, ""depends_on"": [], ""subject"": ""first computing system for secure generation of authentication datasets""}, {""claim"": 20, ""depends_on"": [19], ""subject"": ""providing registration page and receiving request""}]",[]
