question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
pqc-101-learn-001,pqc-101,PQC 101,Which specific NIST FIPS standards were published in August 2024 to standardize post-quantum cryptography algorithms?,"In August 2024, NIST published three primary standards: FIPS 203 for ML-KEM (key establishment), FIPS 204 for ML-DSA (digital signatures), and FIPS 205 for SLH-DSA (conservative signatures). These documents formalize the transition to quantum-resistant algorithms for federal and commercial use. They replace or supplement classical standards like RSA and ECC in specific contexts.",learn,recall,executive;architect;developer,beginner,USA;Global,General,FIPS 203;FIPS 204;FIPS 205,,,,KEM,,NIST,/library?ref=FIPS%20203;/library?ref=FIPS%20204;/library?ref=FIPS%20205;/algorithms?highlight=KEM;/learn/pqc-101,library_ref:FIPS 203 EXISTS|library_ref:FIPS 204 EXISTS|library_ref:FIPS 205 EXISTS|algorithm:KEM IN algorithms_csv|compliance_ref:NIST EXISTS,RAG Summary: Key Concepts; Curious Summary: The Key Takeaway
pqc-101-learn-002,pqc-101,PQC 101,What are the three main families of post-quantum cryptography algorithms identified in the module?,"The three primary families of PQC algorithms are lattice-based, hash-based, and code-based. Lattice-based algorithms include ML-KEM, ML-DSA, and FN-DSA. Hash-based schemes include SLH-DSA and LMS/HSS, while code-based options include Classic McEliece and HQC.",learn,recall,developer;architect;researcher,beginner,Global,General,,,,,KEM,,,/algorithms?highlight=KEM;/learn/pqc-101,algorithm:KEM IN algorithms_csv,RAG Summary: Key Concepts
pqc-101-learn-003,pqc-101,PQC 101,Which classical public-key algorithms are explicitly mentioned as vulnerable to quantum computers?,"The module identifies RSA, ECC, ECDSA, EdDSA, ECDH, and DH as classical public-key algorithms vulnerable to quantum attacks. These rely on mathematical problems like integer factorization and discrete logarithms that quantum computers can solve efficiently.",learn,recall,developer;ops;architect,beginner,Global,General,,,,,,,,/learn/pqc-101,,RAG Summary: Overview
pqc-101-workshop-004,pqc-101,PQC 101,What is the specific OpenSSL command syntax provided in the workshop for generating a PQC key pair?,The workshop demonstrates generating a real key pair using the command `openssl genpkey -algorithm ML-DSA-65`. This command allows users to observe the size differences between classical and post-quantum keys directly in the browser environment.,workshop,recall,developer;ops,beginner,Global,General,,,,,ML-DSA-65,OpenSSL,,/algorithms?highlight=ML-DSA-65;/migrate?q=OpenSSL;/learn/pqc-101,algorithm:ML-DSA-65 IN algorithms_csv|migrate_ref:OpenSSL EXISTS,RAG Summary: Workshop / Interactive Activities
pqc-101-learn-005,pqc-101,PQC 101,What is the target year for the full disallowance of classical public-key cryptography according to the NIST migration timeline?,"NIST targets the full disallowance of classical public-key cryptography by the year 2035. Prior to this, the deprecation of RSA-2048 and 112-bit ECC is targeted for 2030.",learn,recall,executive;architect;ops,beginner,USA;Global,General,,,,,RSA-2048,,NIST,/algorithms?highlight=RSA-2048;/learn/pqc-101,algorithm:RSA-2048 IN algorithms_csv|compliance_ref:NIST EXISTS,RAG Summary: Key Concepts
pqc-101-learn-006,pqc-101,PQC 101,How does Shor's Algorithm enable quantum computers to break current public-key encryption?,Shor's Algorithm breaks RSA and ECC by solving integer factorization and discrete logarithm problems in polynomial time on a quantum computer. This capability renders the mathematical foundations of classical public-key cryptography insecure against sufficiently powerful quantum machines.,learn,comprehension,researcher;architect;developer,beginner;intermediate,Global,General,,,,,,,,/learn/pqc-101,,RAG Summary: Key Concepts
pqc-101-learn-007,pqc-101,PQC 101,"What is the fundamental difference between 'Harvest Now, Decrypt Later' and 'Harvest Now, Forge Later' attacks?","'Harvest Now, Decrypt Later' (HNDL) targets encrypted data, where adversaries store ciphertext today to decrypt it once quantum computers are available. In contrast, 'Harvest Now, Forge Later' (HNFL) targets digital signatures, allowing attackers to capture signed artifacts and forge new ones after recovering private keys with a CRQC.",learn,comprehension,executive;architect;security,beginner;intermediate,Global,General,,,,,,,,/learn/pqc-101,,RAG Summary: Key Concepts
pqc-101-both-008,pqc-101,PQC 101,Why are lattice-based algorithms like ML-KEM and ML-DSA considered resistant to quantum attacks?,"Lattice-based algorithms resist quantum attacks because they rely on mathematical problems involving high-dimensional lattices, which are not efficiently solvable by Shor's Algorithm or other known quantum methods. The workshop allows users to explore these specific resistance properties interactively.",both,comprehension,developer;architect;researcher,beginner;intermediate,Global,General,,,,,KEM,,,/algorithms?highlight=KEM;/learn/pqc-101,algorithm:KEM IN algorithms_csv,RAG Summary: Workshop / Interactive Activities; Key Concepts
pqc-101-learn-009,pqc-101,PQC 101,How does the CNSA 2.0 mandate impact U.S. national security systems regarding PQC adoption?,"CNSA 2.0 mandates a phased adoption of post-quantum cryptography for U.S. national security systems, with requirements starting in 2025. This standard ensures that government systems transition away from vulnerable classical algorithms before they become obsolete.",learn,comprehension,executive;architect;ops,beginner;intermediate,USA,Government;Defense,,,,,,,,/learn/pqc-101,,RAG Summary: Key Concepts
pqc-101-workshop-010,pqc-101,PQC 101,What is the significance of the 'Algorithm Comparison Table' in the workshop?,"The Algorithm Comparison Table provides a side-by-side view of classical algorithms (like Ed25519 and ECDSA P-256) versus PQC algorithms (like ML-DSA and SLH-DSA). It highlights critical differences in key sizes and security levels, helping users understand the trade-offs involved in migration.",workshop,comprehension,developer;architect,beginner;intermediate,Global,General,,,,,ECDSA P-256;Ed25519,,,/algorithms?highlight=ECDSA%20P-256;/algorithms?highlight=Ed25519;/learn/pqc-101,algorithm:ECDSA P-256 IN algorithms_csv|algorithm:Ed25519 IN algorithms_csv,RAG Summary: Workshop / Interactive Activities
