Algorithm Family,Algorithm,NIST Security Level,AES Equivalent,Public Key (bytes),Private Key (bytes),Signature/Ciphertext (bytes),Shared Secret (bytes),KeyGen (cycles relative),Sign/Encaps (cycles relative),Verify/Decaps (cycles relative),Stack RAM (bytes),Optimization Target,FIPS Standard,Use Case Notes
KEM,ML-KEM-512,1,AES-128,800,1632,768,32,1x,1x,1x,~4000,Balanced,FIPS 203,"Good for most applications; ~80x faster keygen than RSA-2048"
KEM,ML-KEM-768,3,AES-192,1184,2400,1088,32,1.5x,1.5x,1.5x,~6000,Balanced,FIPS 203,"Recommended general use; balances security and performance"
KEM,ML-KEM-1024,5,AES-256,1568,3168,1568,32,2x,2x,2x,~8000,Balanced,FIPS 203,"Highest security; CNSA 2.0 requirement for government/defense"
KEM,FrodoKEM-640,1,AES-128,9616,19888,9720,16,10x,20x,20x,~60000,Conservative,N/A,"Conservative LWE-based; larger key & ciphertext, slower than ML-KEM"
KEM,FrodoKEM-976,3,AES-192,15632,31296,15744,24,15x,30x,30x,~120000,Conservative,N/A,"Higher security conservative option; significant size/performance cost"
KEM,FrodoKEM-1344,5,AES-256,21520,43088,21632,32,20x,40x,40x,~180000,Conservative,N/A,"Ultra-conservative LWE (Level 5); very large keys and slowest performance"
KEM,HQC-128,1,AES-128,2249,2305,4433,64,2x,3x,3x,~10000,Balanced,N/A,"Code-based KEM; small keys & moderate speed, but larger ciphertext"
KEM,HQC-192,3,AES-192,4522,4586,8978,64,3x,6x,6x,~20000,Balanced,N/A,"Higher security code-based; balances security with moderate sizes"
KEM,HQC-256,5,AES-256,7245,7317,14421,64,4x,9x,9x,~30000,Balanced,N/A,"Highest security code-based; ~14KB ciphertext; on track for NIST standardization"
KEM,Classic-McEliece-460896,3,AES-192,524160,13608,156,32,100x,5x,5x,~10000,Balanced,N/A,"Classic code-based (McEliece); ~0.5MB public key; fast decapsulation"
KEM,Classic-McEliece-8192128,5,AES-256,1357824,14120,208,32,150x,10x,10x,~15000,Balanced,N/A,"Highest security McEliece; ~1.3MB public key; extremely secure long-term"
Signature,ML-DSA-44,2,AES-128,1312,2560,2420,N/A,1x,1x,1x,~14000,Balanced,FIPS 204,"General purpose; faster than RSA signing; larger signatures"
Signature,ML-DSA-65,3,AES-192,1952,4032,3309,N/A,1.4x,1.3x,1.3x,~14000,Balanced,FIPS 204,"Recommended general use; most balanced security/performance"
Signature,ML-DSA-87,5,AES-256,2592,4896,4627,N/A,1.8x,1.7x,1.7x,~14000,Balanced,FIPS 204,"Highest security; suitable for long-term archival"
